Municipio,Municipio,PL,DC,PINU,UD,PN,VALIDOS,NULOS,BLANCOS,ESCRUTADOS,INSCRITOS
LA CEIBA,LA CEIBA,20200,434,"1,657",363,"19,466",42120,936,555,"43,611","74,771"
EL PORVENIR,EL PORVENIR,2585,259,244,7,"1,765",4860,198,116,"5,174",7940
ESPARTA,ESPARTA,2394,46,65,38,"2,312","4,855",169,98,"5,122","7,843"
JUTIAPA,JUTIAPA,3814,48,109,83,"4,574","8,628",388,170,"9,186","14,109"
LA MASICA,LA MASICA,4319,21,32,74,3640,"8,086",254,108,"8,448","12,959"
SAN FRANCISCO,SAN FRANCISCO,2301,41,26,14,"1,357","3,739",148,65,"3,952","5,962"
TELA,TELA,7386,"3,062",808,733,"11,307","23,296",835,810,"24,941",44170
ARIZONA,ARIZONA,3512,204,77,29,"2,786","6,608",361,186,"7,155","11,646"
TRUJILLO,TRUJILLO,5708,904,334,501,"5,141","12,588",608,305,"13,501","22,401"
BALFATE,BALFATE,987,148,314,67,935,"2,451",157,76,"2,684","4,897"
IRIONA,IRIONA,1164,25,86,153,1210,"2,638",121,134,"2,893","5,519"
LIMON,LIMON,1186,6,8,29,"1,095","2,324",96,39,"2,459","4,468"
SABA,SABA,3358,104,109,467,"4,638","8,676",328,130,"9,134","15,088"
SANTA FE,SANTA FE,465,21,26,315,369,"1,196",79,39,"1,314","2,47"
SANTA ROSA AGUAN,SANTA ROSA AGUAN,626,6,15,11,859,"1,517",74,11,"1,602","2,607"
SONAGUERA,SONAGUERA,3951,"1,784",46,558,"4,345","10,684",548,185,"11,417","18,322"
TOCOA,TOCOA,7158,854,132,"1,625",6230,"15,999",796,304,"17,099","30,341"
BONITO ORIENTAL,BONITO ORIENTAL,2796,32,44,919,"3,422","7,213",371,139,"7,723","13,271"
COMAYAGUA,COMAYAGUA,20260,318,650,384,"10,487","32,099",962,648,"33,709","49,752"
AJUTERIQUE,AJUTERIQUE,1897,29,31,140,"2,021","4,118",120,104,"4,342","5,866"
EL ROSARIO,EL ROSARIO,3075,241,66,88,2740,6210,330,212,"6,752","9,274"
ESQUIAS,ESQUIAS,1506,18,19,16,"2,804","4,363",173,119,"4,655","6,722"
HUMUYA,HUMUYA,397,6,5,2,334,744,26,7,777,896
LA LIBERTAD,LA LIBERTAD,2600,41,31,81,"2,673","6,426",274,110,6810,"9,742"
LAMANI,LAMANI,1018,23,17,10,769,"1,837",68,32,"1,937","2,948"
LA TRINIDAD,LA TRINIDAD,713,9,9,13,715,"1,459",53,22,"1,534","1,944"
LEJAMANI,LEJAMANI,1063,28,9,21,"1,269",2390,99,17,"2,506","3,035"
MEAMBAR,MEAMBAR,1519,15,29,10,"1,581","3,154",107,52,"3,313","4,755"
MINAS DE ORO,MINAS DE ORO,1919,8,21,8,1680,"3,636",159,52,"3,847","5,612"
OJOS DE AGUA,OJOS DE AGUA,1704,26,16,22,"1,207","2,975",108,43,"3,126","4,055"
SAN JERONIMO,SAN JERONIMO,2538,58,17,23,"2,714",5350,168,96,"5,614","8,124"
SAN JOSE DE COMAYAGUA,SAN JOSE DE COMAYAGUA,1159,43,32,42,"1,005","2,281",122,44,"2,447","3,452"
SAN JOSE DEL POTRERO,SAN JOSE DEL POTRERO,1165,58,22,9,237,"1,491",61,31,"1,583","2,435"
SAN LUIS,SAN LUIS,1722,23,28,7,625,"2,405",89,102,"2,596","3,969"
SAN SEBASTIAN,SAN SEBASTIAN,799,3,6,3,657,"1,468",39,17,"1,524","1,883"
SIGUATEPEQUE,SIGUATEPEQUE,9601,354,"1,189",427,"10,181","21,752",855,590,"23,197","35,525"
VILLA DE SAN ANTONIO,VILLA DE SAN ANTONIO,2661,28,43,369,"2,433","5,534",233,148,"5,915","8,356"
LAS LAJAS,LAS LAJAS,1491,14,10,16,"1,264","2,795",85,63,"2,943","4,939"
TAULABE,TAULABE,3464,63,84,173,"3,504","7,288",355,189,"7,832","11,145"
SANTA ROSA DE COPAN,SANTA ROSA DE COPAN,8932,154,390,202,"5,757","15,435",596,257,"16,288","24,378"
CABAÑAS,CABAÑAS,1790,65,24,9,"1,808","3,696",166,26,"3,888",4670
CONCEPCION,CONCEPCION,825,10,10,5,"1,007","1,857",138,37,"2,032","2,662"
COPAN RUINAS,COPAN RUINAS,5784,97,44,44,"4,828","10,797",607,116,11520,"14,884"
CORQUIN,CORQUIN,2107,22,17,18,"1,991","4,155",147,74,"4,376",5840
CUCUYAGUA,CUCUYAGUA,2078,9,57,42,"1,671","3,857",231,100,"4,188","5,859"
DOLORES,DOLORES,814,18,14,6,801,"1,653",74,36,"1,763","2,226"
DULCE NOMBRE,DULCE NOMBRE,912,19,31,9,"1,084","2,055",89,36,2180,"2,914"
EL PARAISO,EL PARAISO,2486,30,25,28,"3,371",5940,268,121,"6,329",10070
FLORIDA,FLORIDA,3497,49,31,27,"3,662","7,266",404,166,"7,836","12,932"
LA JIGUA,LA JIGUA,969,29,7,8,"1,869","2,882",135,65,"3,082","4,897"
LA UNION,LA UNION,1450,15,66,15,"2,371","3,917",181,64,"4,162","5,432"
NUEVA ARCADIA,NUEVA ARCADIA,5786,145,57,181,"4,471",10640,533,203,"11,376","17,016"
SAN AGUSTIN,SAN AGUSTIN,636,24,71,25,523,"1,279",100,52,"1,431","1,836"
SAN ANTONIO,SAN ANTONIO,1983,7,18,15,"1,551","3,574",105,30,"3,709","4,984"
SAN JERONIMO,SAN JERONIMO,1076,35,7,7,816,"1,941",73,30,"2,044","2,753"
SAN JOSE,SAN JOSE,1196,14,13,13,"1,294",2530,91,19,2640,"3,348"
SAN JUAN DE OPOA,SAN JUAN DE OPOA,1371,5,46,11,"1,294","2,727",148,40,"2,915","3,761"
SAN NICOLAS,SAN NICOLAS,1433,3,4,34,"1,349","2,823",71,18,"2,912","3,515"
SAN PEDRO,SAN PEDRO,1264,7,11,7,"1,257","2,546",44,34,"2,624","3,326"
SANTA RITA,SANTA RITA,3620,17,12,43,"3,347","7,039",378,90,"7,507","10,438"
TRINIDAD,TRINIDAD,1270,16,29,5,"1,156","2,476",117,23,"2,616","3,453"
VERACRUZ,VERACRUZ,385,8,281,14,313,"1,001",74,42,"1,117","1,528"
SAN PEDRO SULA,SAN PEDRO SULA,77105,"2,298","4,059","5,237","88,043","176,742","3,778","2,548","183,068","311,667"
CHOLOMA,CHOLOMA,12885,1540,"5,222",673,"17,995","38,315","1,064",933,"40,312","74,068"
OMOA,OMOA,3190,"1,642",58,61,"4,871","9,822",541,232,"10,595","18,981"
PIMIENTA,PIMIENTA,1808,68,52,86,"2,606",4620,138,68,"4,826","7,406"
POTRERILLOS,POTRERILLOS,3317,480,124,27,"2,696","6,644",153,138,"6,935","11,365"
PUERTO CORTES,PUERTO CORTES,16394,358,811,219,"13,831","31,613",909,442,"32,964","54,899"
SAN ANTONIO DE CORTES,SAN ANTONIO DE CORTES,3226,28,63,63,"3,336","6,716",325,132,"7,173","10,382"
SAN FRANCISCO DE YOJOA,SAN FRANCISCO DE YOJOA,2621,47,221,70,"2,537","5,496",240,107,"5,843","8,663"
SAN MANUEL,SAN MANUEL,3038,293,635,297,"3,401","7,664",217,207,"8,088","13,655"
SANTA CRUZ DE YOJOA,SANTA CRUZ DE YOJOA,8979,119,324,198,"9,368","18,988",674,437,"20,099","31,426"
VILLANUEVA,VILLANUEVA,13403,155,"2,088",234,"7,741","23,621",791,652,"25,064","41,844"
LA LIMA,LA LIMA,9178,"2,481","1,056",1080,"9,062","22,857",401,664,"23,922","44,019"
CHOLUTECA,CHOLUTECA,17100,"3,764",681,704,"20,883","43,132","1,351",961,"45,444","66,272"
APACILAGUA,APACILAGUA,1570,89,11,1,"1,728","3,399",98,85,"3,582","5,046"
CONCEPCION DE MARIA,CONCEPCION DE MARIA,3390,291,201,17,"4,407","8,306",282,158,"8,746",11960
DUYURE,DUYURE,760,12,23,0,881,"1,676",18,14,"1,708","2,176"
EL CORPUS,EL CORPUS,2560,343,114,59,"3,644",6720,332,209,"7,261","10,296"
EL TRIUNFO,EL TRIUNFO,5363,587,88,424,"7,215","13,677",591,165,"14,433","19,959"
MARCOVIA,MARCOVIA,5483,646,156,52,5440,"11,777",460,229,"12,466","18,539"
MOROLICA,MOROLICA,1244,12,14,0,"1,143","2,413",58,22,"2,493","3,339"
NAMASIGUE,NAMASIGUE,3565,"1,312",60,73,"3,764","8,774",347,122,"9,243","12,568"
OROCUINA,OROCUINA,2823,320,68,19,"3,206","6,436",235,103,"6,774",9300
PESPIRE,PESPIRE,4748,271,28,21,"4,535","9,603",365,270,"10,238","14,752"
SAN ANTONIO DE FLORES,SAN ANTONIO DE FLORES,1168,14,80,4,"1,025","2,291",127,44,"2,462","3,397"
SAN ISIDRO,SAN ISIDRO,938,39,1,7,746,"1,731",74,47,"1,852","2,739"
SAN JOSE,SAN JOSE,787,29,20,0,710,"1,546",43,28,"1,617","2,23"
SAN MARCOS DE COLON,SAN MARCOS DE COLON,4260,252,83,0,"5,179","9,774",265,193,"10,232","14,808"
SANTA ANA DE YUSGUARE,SANTA ANA DE YUSGUARE,2064,45,46,15,"2,341","4,511",101,74,"4,686","5,937"
YUSCARAN,YUSCARAN,3045,32,23,13,"2,682","5,795",143,74,"6,012","7,416"
