Municipio,PL,DC,PINU,UD,PN,VALIDOS,NULOS,BLANCOS,ESCRUTADOS,INSCRITOS,Votos Totales,ABSTENCION
"DISTRITO CENT,","133,146",3335,9223,5395,"193,568",344667,7961,"2,327","354,955","528,351","354,955","32,82"
"S, P, S,","68,634","1,321","3,885","1,574","102,094","177,508","4,523","1,354","183,385","311,667","183,385","41,16"
EL PROGRESO,"19,221",648,899,861,"23,360","44,989","1,619",413,"47,021","83,599","47,021","43,75"
LA CEIBA,"17,385",237,994,293,"23,398","42,307","1,054",276,"43,637","74,771","43,637","41,64"
CHOLOMA,"14,611",328,746,319,"22,761","38,765","1,233",331,"40,329","74,068","40,329","45,55"
DANLI,"25,334",430,354,435,"19,591","46,144","2,257",468,"48,869","73,881","48,869","33,85"
COLUTECA,"18,700",453,270,259,"23,860","43,542","1,566",316,"45,424","66,272","45,424","31,46"
PUERTO CORTES,"13,108",178,671,190,"17,613","31,760",927,279,"32,966","54,899","32,966","39,95"
COMAYAGUA,"16,155",187,353,233,"15,284","32,212","1,124",340,"33,676","49,752","33,676","32,31"
TELA,"9,095",316,567,237,"13,449","23,664",949,388,"25,001","44,170","25,001","43,40"
LA LIMA,"10,874",263,705,319,"11,187","23,348",497,153,"23,998","44,019","23,998","45,48"
JUTICALPA,"13,074",194,440,123,"12,464","26,295","1,253",296,"27,844","43,802","27,844","36,43"
VILLANUEVA,"10,868",123,436,170,"12,360","23,957",844,343,"25,144","41,844","25,144","39,91"
OLANCHITO,"13,152",102,110,190,"10,671","24,225",938,342,"25,505","41,612","25,505","38,71"
CATACAMAS,"9,844",252,255,582,"11,607","22,540",912,355,"23,807","39,201","23,807","39,27"
SIGUATEPEQUE,"10,117",146,323,157,"11,203","21,946","1,042",220,"23,208","35,525","23,208","34,67"
YORO,"9,317",186,92,227,"10,497","20,319","1,147",335,"21,801","32,443","21,801","32,80"
SANTA CRUZ,"9,246",102,156,156,"9,516","19,176",770,147,"20,093","31,426","20,093","36,06"
TOCOA,"7,925",151,89,753,"7,163","16,081",824,191,"17,096","30,341","17,096","43,65"
NACAOME,"7,013",187,175,54,"7,999","15,428",777,160,"16,365","24,460","16,365","33,09"
SANTA ROSA DE,"7,288",120,226,81,"7,819","15,534",572,182,"16,288","24,378","16,288","33,19"
TRUJILLO,"6,253",139,104,409,"5,770","12,675",621,193,"13,489","22,401","13,489","39,78"
EL PARAISO,"7,687",82,83,111,"7,576","15,539",516,137,"16,192","22,368","16,192","27,61"
EL TRIUNFO,"4,981",279,63,126,"8,118","13,567",481,149,"14,197","19,959","14,197","28,87"
SAN LORENZO,"5,779",157,93,64,"7,376","13,469",484,114,"14,067","19,612","14,067","28,27"
SANTA BARBARA,"6,969",138,171,73,"6,727","14,078",557,99,"14,734","19,519","14,734","24,51"
OMOA,"3,628",289,109,60,"5,763","9,849",562,187,"10,598","18,981","10,598","44,17"
MARCOVIA,"5,490",140,68,34,"6,011","11,743",496,120,"12,359","18,539","12,359","33,34"
SONAGUERA,"5,042",158,63,324,"5,131","10,718",539,134,"11,391","18,322","11,391","37,83"
LAS TROJES,"5,632",91,34,22,"5,669","11,448",477,132,"12,057","18,178","12,057","33,67"
MORAZAN,"4,047",130,67,75,"5,505","9,824",500,131,"10,455","18,079","10,455","42,17"
NUEVA ARCADIA,"5,346",45,75,72,"5,231","10,769",501,115,"11,385","17,016","11,385","33,09"
LA PAZ,"6,113",57,77,437,"4,752","11,436",494,106,"12,036","16,759","12,036","28,18"
EL NEGRITO,"3,861",168,89,125,"4,761","9,004",527,178,"9,709","16,712","9,709","41,90"
INTIBUCA,"4,106",401,160,215,"6,782","11,664",536,178,"12,378","16,160","12,378","23,40"
TALANGA,"4,620",109,73,43,"5,804","10,649",500,120,"11,269","16,038","11,269","29,74"
QUIMISTAN,"3,523",93,57,84,"5,299","9,056",537,131,"9,724","15,937","9,724","38,98"
SABA,"3,937",55,49,318,"4,366","8,725",320,83,"9,128","15,088","9,128","39,50"
COPAN RUINAS,"5,438",71,44,67,"5,204","10,824",583,117,"11,524","14,884","11,524","22,57"
SAN MARCOS DE C,"4,296",74,42,29,"5,365","9,806",346,79,"10,231","14,808","10,231","30,91"
PESPIRE,"4,390",55,39,22,"5,264","9,770",367,110,"10,247","14,752","10,247","30,54"
TEUPASENTI,"4,766",53,46,34,"5,360","10,259",517,93,"10,869","14,576","10,869","25,43"
MACUELIZO,"3,581",55,74,686,"4,429","8,825",710,133,"9,668","14,508","9,668","33,36"
SANTA RITA,"3,676",66,59,45,"4,251","8,097",321,77,"8,495","14,301","8,495","40,60"
GRACIAS,"4,071",139,60,68,"6,104","10,442",432,102,"10,976","14,192","10,976","22,66"
JUTIAPA,"3,759",42,90,53,"4,709","8,653",392,138,"9,183","14,109","9,183","34,91"
SAN MANUEL,"3,442",65,222,115,"3,923","7,767",242,85,"8,094","13,655","8,094","40,73"
LEPAERA,"4,122",44,61,43,"5,190","9,460",580,133,"10,173","13,382","10,173","23,98"
BONITO ORIENTAL,"2,988",36,34,488,"3,682","7,228",375,119,"7,722","13,271","7,722","41,81"
LA MASICA,"3,999",25,47,62,"3,947","8,080",291,85,"8,456","12,959","8,456","34,75"
FLORIDA,"3,514",38,43,24,"3,675","7,294",459,102,"7,855","12,932","7,855","39,26"
NAMASIGUE,"3,809",235,63,30,"4,601","8,738",381,111,"9,230","12,568","9,230","26,56"
PATUCA,"3,593",193,41,24,"3,367","7,218",302,124,"7,644","12,410","7,644","38,40"
SAN LUIS,"4,287",28,26,100,"4,137","8,578",545,97,"9,220","12,290","9,220","24,98"
GUAYMACA,"4,584",38,82,70,"3,538","8,312",271,85,"8,668","12,196","8,668","28,93"
CONCEPCION DE,"2,405",180,90,21,"5,617","8,313",297,128,"8,738","11,960","8,738","26,94"
ROATAN,"2,464",27,46,26,"3,525","6,088",147,50,"6,285","11,950","6,285","47,41"
ARIZONA,"3,167",70,57,34,"3,403","6,731",340,96,"7,167","11,646","7,167","38,46"
