Departamento,Municipio,Padron Electoral,"Partido Innovacion y Unidad SD","Partido Nacional de Honduras","Partido Liberal de Honduras","Partido Unificacion Democratica","Partido Democrata Cristiano","Votos Validos","Votos Nulos","VotosBlancos","Votos Escrutados","Papeletas Sobrantes"
Atlantida,LA CEIBA,86.157,700,16.892,16.971,421,380,35.364,1.735,832,37.931,48.226
Atlantida,EL PORVENIR,10.004,114,2.53,2.339,35,13,5.031,279,126,5.436,4.568
Atlantida,ESPARTA,9.062,20,1.799,2.033,46,24,3.922,414,151,4.487,4.575
Atlantida,JUTIAPA,15.951,61,3.899,3.379,65,25,7.429,812,268,8.509,7.442
Atlantida,LA MASICA,15.838,37,3.523,4.121,91,35,7.807,573,197,8.577,7.261
Atlantida,SAN FRANCISCO,7.045,23,1.374,2.08,17,20,3.514,264,87,3.865,3.18
Atlantida,TELA,51.961,212,9.233,9.49,262,269,19.466,1.424,652,21.542,30.419
Atlantida,ARIZONA,13.236,40,2.41,2.961,66,45,5.522,653,249,6.424,6.812
Colon,TRUJILLO,27.144,45,4.923,7.282,267,99,12.616,803,300,13.719,13.425
Colon,BALFATE,4.716,14,490,562,21,15,1.102,107,49,1.258,3.458
Colon,IRIONA,6.399,5,749,1.308,25,22,2.109,91,58,2.258,4.141
Colon,LIMON,5.299,7,835,1.102,41,19,2.004,150,139,2.293,3.006
Colon,SABA,17.902,32,3.465,4.61,222,66,8.395,442,180,9.017,8.885
Colon,SANTA FE,2.958,14,421,670,41,18,1.164,77,41,1.282,1.676
Colon,SANTA ROSA AGUAN,3.119,12,608,735,6,3,1.364,111,33,1.508,1.611
Colon,SONAGUERA,22.079,27,3.914,5.539,179,57,9.716,578,197,10.491,11.588
Colon,TOCOA,36.398,79,6.279,9.057,551,72,16.038,898,579,17.515,18.883
Colon,BONITO ORIENTAL,15.773,24,3.177,3.086,235,36,6.558,479,161,7.198,8.575
Comayagua,COMAYAGUA,58.918,247,13.58,15.398,433,295,29.953,1.984,753,32.69,26.228
Comayagua,AJUTERIQUE,6.613,16,1.811,2.027,46,15,3.915,295,90,4.3,2.313
Comayagua,EL ROSARIO,10.812,20,3.049,2.891,21,62,6.043,484,191,6.718,4.094
Comayagua,ESQUIAS,7.805,26,1.948,1.585,23,22,3.604,449,143,4.196,3.609
Comayagua,HUMUYA,1.031,4,346,336,3,6,695,39,19,753,278
Comayagua,LA LIBERTAD,10.933,33,2.584,2.772,54,39,5.482,380,205,6.067,4.866
