Departamento,Municipio,PINU,PN,PL,UD,DC
La Paz,Aguanqueterique,12,818,844,4,7
Gracias a Dios,Ahuas,30,499,911,32,26
Comayagua,Ajuterique,16,1811,2027,46,15
El Paraiso,Alauca,16,2073,2352,7,12
Valle,Alianza,4,1082,1529,19,8
Francisco Morazan,Alubaren,21,969,951,12,39
Valle,Amapala,14,1793,1726,12,105
Choluteca,Apacilagua,20,1712,1654,13,54
Santa Barbara,Arada,16,2232,1928,20,26
Valle,Aramecina,5,1129,1397,8,6
Yoro,Arenal,18,1272,949,14,4
Atlantida,Arizona,40,2410,2961,66,45
Santa Barbara,Atima,27,2629,2856,32,21
Santa Barbara,Azacualpa,23,2135,1965,109,41
Colon,Balfate,14,490,562,21,15
Lempira,Belen,14,860,909,8,18
Ocotepeque,Belen Gualcho,31,2488,2596,14,20
Colon,Bonito Oriental,24,3177,3086,235,36
Gracias a Dios,Brus Laguna,8,1093,1044,14,37
Copan,Cabana,30,1865,1919,25,42
La Paz,Cabanas,9,493,372,12,12
Intibuca,Camasca,24,1175,1112,29,30
Olancho,Campamento,19,3402,3001,87,27
Lempira,Candelaria,12,917,1145,13,15
La Paz,Cane,4,587,1030,25,11
Valle,Caridad,4,820,878,7,11
Olancho,Catacamas,66,10218,12990,326,205
Francisco Morazan,Cedros,70,2789,2353,48,28
Santa Barbara,Ceguaca,14,1160,934,8,13
La Paz,Chinacla,21,955,1058,27,20
Santa Barbara,Chinda,10,708,952,19,12
Cortes,Choloma,689,12455,15968,547,544
Choluteca,Choluteca,238,20231,20478,353,581
Lempira,Cololaca,17,833,640,12,33
Intibuca,Colomoncagua,30,1803,2352,106,74
Comayagua,Comayagua,247,13580,15398,0,295
Copan,Concepcion,27,676,734,13,26
Intibuca,Concepcion,37,1206,1662,23,28
Ocotepeque,Concepción,29,479,703,15,15
Choluteca,Concepcion de Maria,78,5270,2363,31,108
Santa Barbara,Concepcion del Norte,15,1687,1687,9,21
Santa Barbara,Concepcion del Sur,10,1088,1123,6,6
Olancho,Concordia,7,1664,1684,14,13
Copan,Copan Ruinas,36,4620,5528,71,74
Copan,Corquin,20,2135,2255,44,25
Copan,Cucuyagua,16,1627,2204,12,23
Francisco Morazan,Curaren,30,2246,2612,11,18
El Paraiso,Danli,221,16509,26485,540,330
Francisco Morazan,Distrito Central,5402,161194,141431,8523,8274
Copan,Dolores,25,703,725,7,32
Intibuca,Dolores,17,850,651,36,19
Ocotepeque,Dolores Merendon,16,528,651,4,18
Copan,Dulce Nombre,9,794,919,20,15
Olancho,Dulce Nombre de Culmi,20,2672,3364,35,54
Choluteca,Duyure,5,984,923,8,19
Choluteca,El Corpus,43,3801,2311,25,83
Yoro,El Negrito,63,3097,3625,173,109
Santa Barbara,El Nispero,11,1620,1652,18,20
Copan,El Paraiso,32,3028,1580,51,32
El Paraiso,El Paraiso,45,6612,8019,112,74
Atlantida,El Porvenir,114,2530,2339,35,13
Francisco Morazan,El Porvenir,21,2731,2017,32,16
Yoro,El Progreso,419,12372,19907,1327,558
Comayagua,El Rosario,20,3049,2891,21,62
Olancho,El Rosario,6,864,922,2,2
Choluteca,El Triunfo,81,7074,6025,71,150
Lempira,Erandique,24,2079,2528,18,13
Atlantida,Esparta,20,1799,2033,46,24
Comayagua,Esquias,26,1948,1585,23,22
Olancho,Esquipulas del Norte,16,1209,983,6,10
Copan,Florida,110,2375,3283,47,48
Ocotepeque,Fraternidad,17,311,561,8,20
Valle,Goascoran,17,2771,3057,30,49
Lempira,Gracias,37,5555,4936,56,148
Francisco Morazan,Guaimaca,32,3746,3828,52,63
La Paz,Guajiquiro,24,2292,1451,19,54
Olancho,Gualaco,21,2297,2610,43,53
Santa Barbara,Gualala,6,514,2255,11,14
Lempira,Gualcince,14,1091,999,20,42
Islas de la Bahia,Guanaja,10,957,1013,7,9
Lempira,Guarita,12,1305,1184,6,10
Olancho,Guarizama,11,1465,1270,8,18
Olancho,Guata,24,1629,1597,8,43
Olancho,Guayape,14,1696,2024,27,16
El Paraiso,Guinope,12,1578,1647,26,53
