Departamento,Municipio,Padron Electoral,PINU,PN,PL,UD,DC,"Votos Validos","Votos Nulos","Votos Blancos","Votos Escrutados","Papeletas Sobrantes"
La Paz,Aguanqueterique,2888,12,818,844,4,7,1685,79,82,1846,1042
Gracias a Dios,Ahuas,2364,30,499,911,32,26,1498,128,38,1664,700
Comayagua,Ajuterique,6613,16,1811,2027,46,15,3915,295,90,4300,2313
El Paraiso,Alauca,5972,16,2073,2352,7,12,4460,251,78,4789,1183
Valle,Alianza,5555,4,1082,1529,19,8,2642,85,73,2800,2755
Francisco Morazan,Alubaren,3007,21,969,951,12,39,1992,175,52,2219,788
Valle,Amapala,7104,14,1793,1726,12,105,3650,122,118,3890,3214
Choluteca,Apacilagua,5612,20,1712,1654,13,54,3453,245,84,3782,1830
Santa Barbara,Arada,5424,16,2232,1928,20,26,4222,265,93,4580,844
Valle,Aramecina,4825,5,1129,1397,8,6,2545,103,60,2708,2117
Yoro,Arenal,5007,18,1272,949,14,4,2257,350,86,2693,2314
Atlantida,Arizona,13236,40,2410,2961,66,45,5522,653,249,6424,6812
Santa Barbara,Atima,7949,27,2629,2856,32,21,5565,422,138,6125,1824
Santa Barbara,Azacualpa,10908,23,2135,1965,109,41,4273,495,199,4967,5941
Colon,Balfate,4716,14,490,562,21,15,1102,107,49,1258,3458
Lempira,Belen,2401,14,860,909,8,18,1809,143,48,2000,401
Ocotepeque,Belen Gualcho,6631,31,2488,2596,14,20,5149,95,96,5340,1291
Colon,Bonito Oriental,15773,24,3177,3086,235,36,6558,479,161,7198,8575
Gracias a Dios,Brus Laguna,4032,8,1093,1044,14,37,2196,124,82,2402,1630
Copan,Cabana,5696,30,1865,1919,25,42,3881,274,147,4302,1394
La Paz,Cabanas,1566,9,493,372,12,12,898,33,30,961,605
Intibuca,Camasca,3867,24,1175,1112,29,30,2370,93,80,2543,1324
Olancho,Campamento,11086,19,3402,3001,87,27,6536,534,167,7237,3849
Lempira,Candelaria,3455,12,917,1145,13,15,2102,203,71,2376,1079
La Paz,Cane,2301,4,587,1030,25,11,1657,46,40,1743,558
Valle,Caridad,2832,4,820,878,7,11,1720,66,26,1812,1020
Olancho,Catacamas,46510,66,10218,12990,326,205,23805,1692,660,26157,20353
Francisco Morazan,Cedros,11003,70,2789,2353,48,28,5288,713,182,6183,4820
Santa Barbara,Ceguaca,2776,14,1160,934,8,13,2129,85,46,2260,516
La Paz,Chinacla,2930,21,955,1058,27,20,2081,137,56,2274,656
Santa Barbara,Chinda,2951,10,708,952,19,12,1701,134,65,1900,1051
Cortes,Choloma,89539,689,12455,15968,547,544,30203,1667,928,32798,56741
Choluteca,Choluteca,76410,238,20231,20478,353,581,41881,2950,939,45770,30640
Lempira,Cololaca,2962,17,833,640,12,33,1535,205,106,1846,1116
Intibuca,Colomoncagua,7997,30,1803,2352,106,74,4365,254,205,4824,3173
Comayagua,Comayagua,58918,247,13580,15398,0,295,29520,1984,753,32257,26661
Copan,Concepcion,3104,27,676,734,13,26,1476,199,143,1818,1286
Intibuca,Concepcion,5839,37,1206,1662,23,28,2956,143,156,3255,2584
Ocotepeque,Concepción,2674,29,479,703,15,15,1241,51,74,1366,1308
Choluteca,Concepcion de Maria,13549,78,5270,2363,31,108,7850,581,262,8693,4856
Santa Barbara,Concepcion del Norte,5668,15,1687,1687,9,21,3419,316,87,3822,1846
Santa Barbara,Concepcion del Sur,2943,10,1088,1123,6,6,2233,118,32,2383,560
Olancho,Concordia,4839,7,1664,1684,14,13,3382,272,126,3780,1059
Copan,Copan Ruinas,17762,36,4620,5528,71,74,10329,1174,326,11829,5933
Copan,Corquin,7021,20,2135,2255,44,25,4479,292,254,5025,1996
Copan,Cucuyagua,6499,16,1627,2204,12,23,3882,494,134,4510,1989
Francisco Morazan,Curaren,9066,30,2246,2612,11,18,4917,424,106,5447,3619
El Paraiso,Danli,85779,221,16509,26485,540,330,44085,3940,1281,49306,36473
Francisco Morazan,Distrito Central,598922,5402,161194,141431,8523,8274,324824,14985,4711,344520,254402
Copan,Dolores,2622,25,703,725,7,32,1492,183,139,1814,808
Intibuca,Dolores,2057,17,850,651,36,19,1573,55,56,1684,373
Ocotepeque,Dolores Merendon,1518,16,528,651,4,18,1217,22,39,1278,240
Copan,Dulce Nombre,3159,9,794,919,20,15,1757,149,79,1985,1174
Olancho,Dulce Nombre de Culmi,12212,20,2672,3364,35,54,6145,477,195,6817,5395
Choluteca,Duyure,2585,5,984,923,8,19,1939,67,26,2032,553
Choluteca,El Corpus,11261,43,3801,2311,25,83,6263,750,226,7239,4022
Yoro,El Negrito,19521,63,3097,3625,173,109,7067,820,308,8195,11326
Santa Barbara,El Nispero,4679,11,1620,1652,18,20,3321,176,72,3569,1110
Copan,El Paraiso,10978,32,3028,1580,51,32,3143,476,249,3868,7110
El Paraiso,El Paraiso,25091,45,6612,8019,112,74,14862,958,352,16172,8919
Atlantida,El Porvenir,10004,114,2530,2339,35,13,5031,279,126,5436,4568
Francisco Morazan,El Porvenir,9279,21,2731,2017,32,16,4817,393,140,5350,3929
Yoro,El Progreso,96312,419,12372,19907,1327,558,34583,2277,896,37756,58556
Comayagua,El Rosario,10812,20,3049,2891,21,62,6043,484,191,6718,4094
Olancho,El Rosario,2532,6,864,922,2,2,1796,86,28,1910,622
Choluteca,El Triunfo,23336,81,7074,6025,71,150,13401,1320,325,15046,8290
Lempira,Erandique,6599,24,2079,2528,18,13,4662,278,143,5083,1516
Atlantida,Esparta,9062,20,1799,2033,46,24,3922,414,151,4487,4575
Comayagua,Esquias,7805,26,1948,1585,23,22,3604,449,143,4196,3609
Olancho,Esquipulas del Norte,3893,16,1209,983,6,10,2224,196,73,2493,1400
Copan,Florida,14162,110,2375,3283,47,48,5863,759,307,6929,7233
Ocotepeque,Fraternidad,1202,17,311,561,8,20,917,12,48,977,225
Valle,Goascoran,10160,17,2771,3057,30,49,5924,187,142,6253,3907
Lempira,Gracias,16632,37,5555,4936,56,148,10732,812,319,11863,4769
Francisco Morazan,Guaimaca,13991,32,3746,3828,52,63,7721,607,194,8522,5469
La Paz,Guajiquiro,5979,24,2292,1451,19,54,3840,268,90,4198,1781
Olancho,Gualaco,8969,21,2297,2610,43,53,2414,431,154,2999,5970
Santa Barbara,Gualala,3263,6,514,2255,11,14,2800,115,56,2971,292
Lempira,Gualcince,4722,14,1091,999,20,42,2166,258,175,2599,2123
Islas de la Bahia,Guanaja,4457,10,957,1013,7,9,1996,37,31,2064,2393
Lempira,Guarita,4479,12,1305,1184,6,10,2517,210,126,2853,1626
Olancho,Guarizama,4420,11,1465,1270,8,18,1502,182,79,1763,2657
Olancho,Guata,5071,24,1629,1597,8,43,3301,355,161,3817,1254
Olancho,Guayape,6956,14,1696,2024,27,16,3777,411,58,4246,2710
El Paraiso,Guinope,5073,12,1578,1647,26,53,3316,211,65,3592,1481
Comayagua,Humuya,1031,4,346,336,3,6,695,39,19,753,278
Santa Barbara,Ilama,5201,17,1394,1170,24,28,1463,267,84,1814,3387
Intibuca,Intibuca,19117,137,6468,5205,259,482,12551,556,464,13571,5546
Colon,Iriona,6399,5,749,1308,25,22,2109,91,58,2258,4141
El Paraiso,Jacaleapa,3197,3,1060,1127,8,13,2211,114,28,2353,844
Olancho,Jano,2450,7,700,876,10,13,1606,133,58,1797,653
Intibuca,Jesus de Otoro,12514,34,4408,3865,72,78,8457,255,153,8865,3649
Yoro,Jocon,5055,14,1609,1650,26,53,1702,411,74,2187,2868
Islas de la Bahia,Jose Santos Guardiola,5373,16,1183,1294,7,16,2516,42,109,2667,2706
Gracias a Dios,Juan Francisco  Bulnes,1871,8,411,531,6,20,976,29,33,1038,833
Atlantida,Jutiapa,15951,61,3899,3379,65,25,7429,812,268,8509,7442
Olancho,Juticalpa,53190,148,12968,13527,98,123,26864,2114,643,29621,23569
Lempira,La Campa,2371,20,943,763,5,8,1739,149,55,1943,428
Atlantida,La Ceiba,86157,700,16892,16971,421,380,35364,1735,832,37931,48226
Ocotepeque,La Encarnacion,2746,6,1075,1069,6,4,2160,29,40,2229,517
Intibuca,La Esperanza,6822,21,2063,2118,59,43,4304,129,94,4527,2295
Lempira,La Iguala,9133,32,2895,2231,22,38,5218,630,225,6073,3060
Copan,La Jigua,5322,33,1103,1026,13,26,2201,255,153,2609,2713
Ocotepeque,La Labor,4202,23,861,1503,31,30,2448,48,104,2600,1602
Comayagua,La Libertad,10933,33,2584,2772,54,39,5482,380,205,6067,4866
Francisco Morazan,La Libertad,2306,12,824,656,1,14,1507,85,31,1623,683
Cortes,La Lima,49899,571,6205,9696,579,565,17616,701,227,18544,31355
Atlantida,La Masica,15838,37,3523,4121,91,35,7807,573,197,8577,7261
La Paz,La Paz,19644,46,4561,6959,244,117,11927,413,345,12685,6959
Comayagua,La Trinidad,2311,10,695,730,7,16,1458,191,42,1691,620
Copan,La Union,5961,28,2079,1593,22,24,3746,200,181,4127,1834
Lempira,La Union,5632,21,1936,2210,20,19,1996,248,141,2385,3247
Olancho,La Union,4107,19,1213,1237,11,12,2492,276,74,2842,1265
Francisco Morazan,La Venta,4119,23,1028,794,34,42,1921,206,98,2225,1894
Lempira,La Virtud,3562,8,942,1001,2,4,1957,160,71,2188,1374
