Departamento,Municipio,Nacional,PINU-SD,Democrata Cristiano,Liberal,UD,Independiente1,Independiente2,Independiente3,Independiente4,Independiente5,Independiente6,Independiente7,Independiente8
ATLANTIDA,LA CEIBA,20414,917,400,11453,332,7402,,,,,,,
ATLANTIDA,EL PORVENIR,2815,233,38,2049,28,,,,,,,,
ATLANTIDA,ESPARTA,2107,80,18,2487,114,,,,,,,,
ATLANTIDA,JUTIAPA,4974,47,22,3653,65,,,,,,,,
ATLANTIDA,LA MASICA,4866,28,21,3507,87,,,,,,,,
ATLANTIDA,SAN FRANCISCO,1888,28,21,1934,49,,,,,,,,
ATLANTIDA,TELA,12002,827,1639,7279,481,,,,,,,,
ATLANTIDA,ARIZONA,2726,58,31,3840,22,,,,,,,,
COLON,TRUJILLO,5508,1244,262,5059,70,,,,,,,,
COLON,BALFATE,1050,37,445,707,33,,,,,,,,
COLON,IRIONA,1500,12,28,2086,21,,,,,,,,
COLON,LIMON,1039,,19,994,28,,,,,,,,
COLON,SABA,3513,,87,3497,19,,,,,,,,
COLON,SANTA FE,799,12,15,674,11,,,,,,,,
COLON,SANTA ROSA AGUAN,1071,24,4,699,28,,,,,,,,
COLON,SONAGUERA,5402,19,120,2761,256,,,,,,,,
COLON,TOCOA,8888,126,143,6459,276,,,,,,,,
COLON,BONITO ORIENTAL,3237,30,12,2852,152,,,,,,,,
COMAYAGUA,COMAYAGUA,7993,364,223,19439,501,,,,,,,,
COMAYAGUA,AJUTERIQUE,2239,9,19,1506,29,,,,,,,,
COMAYAGUA,EL ROSARIO,4212,29,38,2469,40,,,,,,,,
COMAYAGUA,ESQUIAS,2481,40,21,642,,,,,,,,,
COMAYAGUA,HUMUYA,469,5,1,324,5,,,,,,,,
COMAYAGUA,LA LIBERTAD,3110,13,31,2631,,,,,,,,,
COMAYAGUA,LAMANI,885,5,13,858,3,,,,,,,,
COMAYAGUA,LA TRINIDAD,755,4,4,899,,,,,,,,,
COMAYAGUA,LEJAMANI,1467,2,2,1216,8,,,,,,,,
COMAYAGUA,MEAMBAR,1615,8,4,1487,,,,,,,,,
COMAYAGUA,MINAS DE ORO,1482,16,,1882,,,,,,,,,
COMAYAGUA,OJOS DE AGUA,1321,7,7,2301,8,,,,,,,,
COMAYAGUA,SAN JERONIMO,3440,9,46,2211,15,,,,,,,,
COMAYAGUA,SAN JOSE DE COMAYAGUA,815,3,531,1316,,,,,,,,,
COMAYAGUA,SAN JOSE DEL POTRERO,257,1,4,1247,,,,,,,,,
COMAYAGUA,SAN LUIS,1337,10,3,1173,,,,,,,,,
COMAYAGUA,SAN SEBASTIAN,937,3,3,40,11,,,,,,,,
COMAYAGUA,SIGUATEPEQUE,11317,508,300,11125,,,,,,,,,
COMAYAGUA,VILLA DE SAN ANTONIO,1550,48,18,1217,37,,2225,,,,,,
COMAYAGUA,LAS LAJAS,1365,4,22,1809,,,,,,,,,
COMAYAGUA,TAULABE,2890,62,36,3983,,,,,,,,,
COPAN,SANTA ROSA DE COPAN,5283,94,96,6993,266,,,,,,,,
COPAN,CABAÑAS,2205,4,7,2711,,,,,,,,,
COPAN,CONCEPCION,1337,3,5,1062,5,,,,,,,,
COPAN,COPAN RUINAS,7120,21,42,6707,,,,,,,,,
COPAN,CORQUIN,2856,2,2,789,9,,,,,,,,
COPAN,CUCUYAGUA,2371,4,2,2921,6,,,,,,,,
COPAN,DOLORES,686,5,8,1296,2,,,,,,,,
COPAN,DULCE NOMBRE,1187,2,0,1188,4,,,,,,,,
COPAN,EL PARAISO,8480,11,20,425,29,,,,,,,,
COPAN,FLORIDA,2804,56,89,4028,36,,,,,,,,
COPAN,LA JIGUA,1588,8,11,1194,9,,,,,,,,
COPAN,LA UNION,3355,14,9,1471,8,,,,,,,,
COPAN,NUEVA ARCADIA,4881,66,232,3681,26,,,,,,,,
COPAN,SAN AGUSTIN,1207,0,2,748,3,,,,,,,,
COPAN,SAN ANTONIO,1924,7,7,1682,5,,,,,,,,
COPAN,SAN JERONIMO,697,4,13,1647,5,,,,,,,,
COPAN,SAN JOSE,1594,5,1,1413,4,,,,,,,,
COPAN,SAN JUAN DE OPOA,2011,3,15,1323,7,,,,,,,,
COPAN,SAN NICOLAS,1465,1,2,1537,3,,,,,,,,
COPAN,SAN PEDRO,1028,5,1,1732,2,,,,,,,,
COPAN,SANTA RITA,4220,11,353,2454,27,,,,,,,,
COPAN,TRINIDAD,1673,5,8,802,5,,,,,,,,
COPAN,VERACRUZ,567,5,8,640,4,,,,,,,,
CORTES,SAN PEDRO SULA,74026,2329,1760,75908,1243,,,,,,,,
CORTES,CHOLOMA,17233,743,1069,19944,255,,,2044,,,,,
CORTES,OMOA,7648,585,119,3463,146,,,,,,,,
CORTES,PIMIENTA,3657,59,103,772,,,,,,,,,
CORTES,POTRERILLOS,2787,18,280,3313,49,,,,,,,,
CORTES,PUERTO CORTES,16467,536,783,17399,,,,,,,,,
CORTES,SAN ANTONIO DE CORTES,2588,177,70,3402,36,,,,,,,,
CORTES,SAN FRANCISCO DE YOJOA,2538,72,76,2562,85,,,,,,,,
CORTES,SAN MANUEL,3218,310,133,3160,84,,,,392,,,,
CORTES,SANTA CRUZ DE YOJOA,8200,93,200,10104,48,,,,,,,,
CORTES,VILLANUEVA,10985,325,144,13316,188,,,,,,,,
CORTES,LA LIMA,6299,1351,1300,7782,224,,,,,,,,
CHOLUTECA,CHOLUTECA,18261,842,895,21083,,,,,,,,,
CHOLUTECA,APACILAGUA,2149,4,148,1932,,,,,,,,,
CHOLUTECA,CONCEPCION DE MARIA,4480,33,19,4420,,,,,,,,,
CHOLUTECA,DUYURE,1169,6,1,532,,,,,,,,,
CHOLUTECA,EL CORPUS,4302,83,103,2287,,,,,,,,,
CHOLUTECA,EL TRIUNFO,5828,2809,709,4196,,,,,,,,,
CHOLUTECA,MARCOVIA,3180,599,487,7324,,,,,,,,,
CHOLUTECA,MOROLICA,2044,,12,524,2,,,,,,,,
CHOLUTECA,NAMASIGUE,4597,78,194,6002,,,,,,,,,
CHOLUTECA,OROCUINA,2893,21,120,3420,,,,,,,,,
CHOLUTECA,PESPIRE,5147,,748,2515,,,,,,,,,
CHOLUTECA,SAN ANTONIO DE FLORES,1660,2,2,1173,,,,,,,,,
CHOLUTECA,SAN ISIDRO,1123,1,3,882,,,,,,,,,
CHOLUTECA,SAN JOSE,1032,3,21,882,,,,,,,,,
CHOLUTECA,SAN MARCOS DE COLON,5583,70,142,4399,,,,,,,,,
CHOLUTECA,SANTA ANA DE YUSGUARE,2752,15,25,2623,,,,,,,,,
EL PARAISO,YUSCARAN,3273,16,258,2082,32,,,,,,,,
EL PARAISO,ALAUCA,2303,4,4,1998,9,,,,,,,,
EL PARAISO,DANLI,19950,3199,802,13566,852,,,,,,,,
EL PARAISO,EL PARAISO,7251,200,100,5534,400,,,,,,,,
EL PARAISO,GUINOPE,1956,36,22,1807,17,,,,,,,,
EL PARAISO,JACALEAPA,1257,2,3,1328,3,,,,,,,,
EL PARAISO,LIURE,2811,22,14,1731,11,,,,,,,,
EL PARAISO,MOROCELI,2558,28,37,2527,12,,,,,,,,
EL PARAISO,OROPOLI,2146,0,10,1419,5,,,,,,,,
EL PARAISO,POTRERILLOS,525,5,13,632,2,,,,,,,,
EL PARAISO,SAN ANTONIO DE FLORES,1552,2,11,1095,3,,,,,,,,
EL PARAISO,SAN LUCAS,1432,8,33,1888,,,,,,,,,
EL PARAISO,SAN MATIAS,1127,14,6,936,2,,,,,,,,
EL PARAISO,SOLEDAD,866,3,6,1594,1428,,,,,,,,
EL PARAISO,TEUPASENTI,6077,5,162,5686,16,,,,,,,,
EL PARAISO,TEXIGUAT,1600,4,41,1989,3,,,,,,,,
EL PARAISO,VADO ANCHO,847,1,3,926,4,,,,,,,,
EL PARAISO,YAUYUPE,426,9,5,456,2,,,,,,,,
EL PARAISO,TROJES,6374,25,69,4709,21,,,,,,,,
FRANCISCO MORAZAN,DISTRITO CENTRAL,188117,4415,9150,57001,8826,,,,,35098,,,
FRANCISCO MORAZAN,ALUBAREN,1205,,38,944,54,,,,,,,,
FRANCISCO MORAZAN,CEDROS,3099,103,24,3115,92,,,,,,,,
FRANCISCO MORAZAN,CURAREN,3396,5,14,2729,4,,,,,,,,
FRANCISCO MORAZAN,EL PORVENIR,3024,13,12,3200,54,,,,,,,,
FRANCISCO MORAZAN,GUAIMACA,5124,4,46,3233,13,,,,,,96,,
FRANCISCO MORAZAN,LA LIBERTAD,976,4,6,809,2,,,,,,,,
FRANCISCO MORAZAN,LA VENTA,1149,,60,971,107,,,,,,,,
FRANCISCO MORAZAN,LEPATERIQUE,2251,219,34,2867,,,,,,,,,
FRANCISCO MORAZAN,MARAITA,1766,4,3,1568,4,,,,,,,,
FRANCISCO MORAZAN,MARALE,932,4,5,1501,11,,,,,,,,
FRANCISCO MORAZAN,NUEVA ARMENIA,220,3,965,937,3,,,,,,,,
FRANCISCO MORAZAN,OJOJONA,1574,31,59,2801,23,,,,,,,,
FRANCISCO MORAZAN,ORICA,2082,,9,2422,68,,,,,,,,
FRANCISCO MORAZAN,REITOCA,1916,5,4,2149,10,,,,,,,,
FRANCISCO MORAZAN,SABANAGRANDE,3241,35,54,2794,178,,,,,,,,
FRANCISCO MORAZAN,SAN ANTONIO DE ORIENTE,1587,544,71,2174,67,,,,,,,,
FRANCISCO MORAZAN,SAN BUENAVENTURA,572,8,9,1252,7,,,,,,,,
FRANCISCO MORAZAN,SAN IGNACIO,1903,10,4,2068,2,,,,,,,,
FRANCISCO MORAZAN,SAN JUAN DE FLORES,1736,,14,3049,96,,,,,,,,
FRANCISCO MORAZAN,SAN MIGUELITO,668,2,2,638,1,,,,,,,,
FRANCISCO MORAZAN,SANTA ANA,2259,69,21,2263,19,,,,,,,,
FRANCISCO MORAZAN,SANTA LUCIA,2248,273,56,1281,,,,,,,,,
FRANCISCO MORAZAN,TALANGA,5858,68,143,5190,11,,,,,,,,
FRANCISCO MORAZAN,TATUMBLA,1741,5,5,1074,40,,,,,,,,
