Departamento,Municipio,PN,PINU-SD,DC,PL,UD,Total Marcas
ATLANTIDA,LA CEIBA,123718,12575,11850,79478,9203,236824
ATLANTIDA,EL PORVENIR,12292,2033,586,10321,591,25823
ATLANTIDA,ESPARTA,12401,549,199,12820,546,26515
ATLANTIDA,JUTIAPA,20265,877,313,14719,1314,37488
ATLANTIDA,LA MASICA,25637,990,748,17392,1780,46547
ATLANTIDA,SAN FRANCISCO,10696,465,396,9613,960,22130
ATLANTIDA,TELA,55482,3342,7603,28981,3203,98611
ATLANTIDA,ARIZONA,16630,666,565,14670,1116,33647
COLON,TRUJILLO,16404,1253,769,13589,888,32903
COLON,BALFATE,2792,112,532,1719,211,5366
COLON,IRIONA,4319,151,91,3438,404,8403
COLON,LIMON,2136,260,84,1695,161,4336
COLON,SABA,9990,255,188,7865,306,18604
COLON,SANTA FE,1314,135,101,1767,88,3405
COLON,SANTA ROSA AGUAN,2636,99,50,1561,82,4428
COLON,SONAGUERA,14164,391,443,8489,694,24181
COLON,TOCOA,24034,804,425,21719,1802,48784
COLON,BONITO ORIENTAL,8819,1301,117,5994,711,16942
COMAYAGUA,COMAYAGUA,63935,4238,4795,38127,7958,119053
COMAYAGUA,AJUTERIQUE,10864,261,229,6168,819,18341
COMAYAGUA,EL ROSARIO,17140,886,609,9418,524,28577
COMAYAGUA,ESQUIAS,7261,418,506,3498,264,11947
COMAYAGUA,HUMUYA,1686,49,87,1051,124,2997
COMAYAGUA,LA LIBERTAD,12403,593,458,6745,601,20800
COMAYAGUA,LAMANI,3734,101,68,2357,181,6441
COMAYAGUA,LA TRINIDAD,3501,250,191,3120,138,7200
COMAYAGUA,LEJAMANI,7761,210,76,3576,854,12477
COMAYAGUA,MEAMBAR,6923,257,94,4510,202,11986
COMAYAGUA,MINAS DE ORO,5861,287,94,6664,236,13142
COMAYAGUA,OJOS DE AGUA,5435,175,117,6934,319,12980
COMAYAGUA,SAN JERONIMO,13871,490,512,7128,282,22283
COMAYAGUA,SAN JOSE DE COMAYAGUA,4408,356,242,5150,339,10495
COMAYAGUA,SAN JOSE DEL POTRERO,1511,131,65,4361,499,6567
COMAYAGUA,SAN LUIS,4030,191,411,3782,409,8823
COMAYAGUA,SAN SEBASTIAN,3756,59,80,506,71,4472
COMAYAGUA,SIGUATEPEQUE,50581,11277,2524,32742,2213,99337
COMAYAGUA,VILLA DE SAN ANTONIO,9665,513,393,7309,821,18701
COMAYAGUA,LAS LAJAS,5364,228,119,3640,321,9672
COMAYAGUA,TAULABE,13684,580,327,11164,471,26226
COPAN,SANTA ROSA DE COPAN,26520,4265,1405,19636,1258,53084
COPAN,CABAÑAS,9035,380,105,11202,189,20911
COPAN,CONCEPCION,4657,308,68,2357,195,7585
COPAN,COPAN RUINAS,32466,1370,370,17753,609,52568
COPAN,CORQUIN,11006,375,115,3467,91,15054
COPAN,CUCUYAGUA,11043,399,107,10211,349,22109
COPAN,DOLORES,3521,186,106,2738,65,6616
COPAN,DULCE NOMBRE,4151,288,77,3662,344,8522
COPAN,EL PARAISO,54050,650,122,2703,512,58037
COPAN,FLORIDA,12890,1963,696,15138,816,31503
COPAN,LA JIGUA,5098,233,207,2638,291,8467
COPAN,LA UNION,7531,376,105,4099,176,12287
COPAN,NUEVA ARCADIA,18706,773,2073,13285,471,35308
COPAN,SAN AGUSTIN,5706,327,44,2576,113,8766
COPAN,SAN ANTONIO,8271,345,270,4805,797,14488
COPAN,SAN JERONIMO,3991,148,156,6011,184,10490
COPAN,SAN JOSE,8086,343,201,6236,258,15124
COPAN,SAN JUAN DE OPOA,8168,425,131,3556,177,12457
