Departamento,Municipio,Nacional,PINU-SD,Democrata Cristiano,Liberal,UD
ATLANTIDA,LA CEIBA,"22,298","2,529",621,"15,773",560
ATLANTIDA,EL PORVENIR,"2,806",150,39,"2,140",60
ATLANTIDA,ESPARTA,"2,305",35,33,"2,407",199
ATLANTIDA,JUTIAPA,"5,266",70,45,"3,028",217
ATLANTIDA,LA MASICA,"4,457",54,49,"3,650",211
ATLANTIDA,SAN FRANCISCO,"1,809",39,32,"1,918",81
ATLANTIDA,TELA,"13,496",889,460,"7,980",292
ATLANTIDA,ARIZONA,"3,217",44,64,"3,325",113
COLON,TRUJILLO,"6,358",286,125,"5,009",217
COLON,BALFATE,"1,176",30,45,957,54
COLON,IRIONA,"1,714",31,28,"1,557",142
COLON,LIMON,955,41,9,902,60
COLON,SABA,"3,900",25,48,"2,912",100
COLON,SANTA FE,608,98,14,695,29
COLON,SANTA ROSA AGUAN,"1,007",65,6,643,24
COLON,SONAGUERA,"5,247",41,70,"2,933",256
COLON,TOCOA,"9,476",94,118,"5,688",535
COLON,BONITO ORIENTAL,"3,675",34,26,"2,232",234
COMAYAGUA,COMAYAGUA,"15,772",527,484,"11,637",551
COMAYAGUA,AJUTERIQUE,"2,148",16,19,"1,464",116
COMAYAGUA,EL ROSARIO,"4,111",43,58,"2,477",50
COMAYAGUA,ESQUIAS,"2,289",18,25,981,21
COMAYAGUA,HUMUYA,418,4,10,284,29
COMAYAGUA,LA LIBERTAD,"3,502",21,51,"2,021",93
COMAYAGUA,LAMANI,845,13,20,728,55
COMAYAGUA,LA TRINIDAD,781,8,8,814,11
COMAYAGUA,LEJAMANI,"1,507",19,5,992,84
COMAYAGUA,MEAMBAR,"1,625",14,9,"1,357",18
COMAYAGUA,MINAS DE ORO,"1,588",21,10,"1,652",21
COMAYAGUA,OJOS DE AGUA,"1,623",10,10,"1,936",35
COMAYAGUA,SAN JERONIMO,"3,706",21,37,"1,839",58
COMAYAGUA,SAN JOSE DE COMAYAGUA,"1,284",15,68,"1,147",39
COMAYAGUA,SAN JOSE DEL POTRERO,402,2,12,968,36
COMAYAGUA,SAN LUIS,"1,191",10,27,"1,259",27
COMAYAGUA,SAN SEBASTIAN,792,4,12,139,10
COMAYAGUA,SIGUATEPEQUE,"12,944",697,375,"9,266",225
COMAYAGUA,VILLA DE SAN ANTONIO,"3,029",69,57,"1,763",136
COMAYAGUA,LAS LAJAS,"1,617",20,22,"1,401",23
COMAYAGUA,TAULABE,"3,602",55,64,"3,010",78
COPAN,SANTA ROSA DE COPAN,"7,069",209,181,"5,085",225
COPAN,CABAÑAS,"2,507",9,25,"2,250",17
COPAN,CONCEPCION,"1,314",16,13,846,12
COPAN,COPAN RUINAS,"7,151",23,46,"6,404",83
COPAN,CORQUIN,"2,488",18,16,903,30
COPAN,CUCUYAGUA,"2,580",13,23,"2,533",42
COPAN,DOLORES,"1,020",8,24,896,7
COPAN,DULCE NOMBRE,"1,084",18,19,"1,095",60
COPAN,EL PARAISO,"8,151",31,25,674,25
COPAN,FLORIDA,"3,137",50,47,"3,763",62
COPAN,LA JIGUA,"1,579",18,33,"1,009",48
COPAN,LA UNION,"3,084",13,26,"1,401",88
COPAN,NUEVA ARCADIA,"4,967",78,118,"3,674",100
COPAN,SAN AGUSTIN,"1,084",6,9,779,6
COPAN,SAN ANTONIO,"1,941",11,28,"1,486",30
COPAN,SAN JERONIMO,986,5,17,"1,294",14
COPAN,SAN JOSE,"1,589",12,10,"1,287",21
COPAN,SAN JUAN DE OPOA,"2,043",7,22,"1,157",28
COPAN,SAN NICOLAS,"1,441",11,10,"1,357",38
COPAN,SAN PEDRO,"1,268",10,6,"1,422",13
COPAN,SANTA RITA,"4,060",37,135,"2,699",48
COPAN,TRINIDAD,"1,493",7,30,844,15
COPAN,VERACRUZ,658,7,6,491,9
CORTES,SAN PEDRO SULA,"84,040","7,260","4,649","56,899","2,095"
CORTES,CHOLOMA,"22,705","1,183","1,039","15,947",821
CORTES,OMOA,"7,489",248,150,"3,835",169
CORTES,PIMIENTA,"3,202",79,94,"1,151",51
CORTES,POTRERILLOS,"3,568",61,80,"2,754",78
CORTES,PUERTO CORTES,"18,293",970,843,"14,827",475
CORTES,SAN ANTONIO DE CORTES,"3,370",83,86,"2,399",111
CORTES,SAN FRANCISCO DE YOJOA,"2,805",126,92,"2,139",106
CORTES,SAN MANUEL,"3,403",276,186,"3,505",143
CORTES,SANTA CRUZ DE YOJOA,"10,297",256,253,"7,291",269
CORTES,VILLANUEVA,"13,731",619,393,"9,814",435
CORTES,LA LIMA,"7,174","1,260",805,"7,538",337
CHOLUTECA,CHOLUTECA,"22,829",511,942,"17,544",379
CHOLUTECA,APACILAGUA,"2,356",9,79,"1,677",43
CHOLUTECA,CONCEPCION DE MARIA,"6,210",51,95,"2,418",53
CHOLUTECA,DUYURE,"1,065",9,13,352,75
CHOLUTECA,EL CORPUS,"4,369",53,116,"2,277",33
CHOLUTECA,EL TRIUNFO,"8,503",144,337,"4,574",94
CHOLUTECA,MARCOVIA,"5,322",132,384,"5,929",95
CHOLUTECA,MOROLICA,"1,514",7,19,"1,086",10
CHOLUTECA,NAMASIGUE,"5,351",48,217,"5,127",54
CHOLUTECA,OROCUINA,"4,020",24,48,"2,381",38
CHOLUTECA,PESPIRE,"5,573",34,169,"2,641",55
CHOLUTECA,SAN ANTONIO DE FLORES,"1,564",11,20,"1,148",27
CHOLUTECA,SAN ISIDRO,"1,065",7,20,860,13
CHOLUTECA,SAN JOSE,"1,179",12,25,604,25
CHOLUTECA,SAN MARCOS DE COLON,"5,843",55,140,"3,956",104
CHOLUTECA,SANTA ANA DE YUSGUARE,"3,023",24,58,"2,253",42
EL PARAISO,YUSCARAN,"3,533",26,46,"2,075",52
EL PARAISO,ALAUCA,"2,352",10,10,"1,813",38
EL PARAISO,DANLI,"21,620",430,696,"16,445",767
EL PARAISO,EL PARAISO,"7,780",67,106,"6,036",163
EL PARAISO,GUINOPE,"2,029",30,66,"1,625",66
EL PARAISO,JACALEAPA,"1,319",16,20,"1,114",62
EL PARAISO,LIURE,"2,120",20,25,"2,273",44
EL PARAISO,MOROCELI,"2,586",51,44,"2,336",70
EL PARAISO,OROPOLI,"2,138",13,17,"1,172",87
EL PARAISO,POTRERILLOS,558,9,19,501,29
EL PARAISO,SAN ANTONIO DE FLORES,"1,504",11,14,934,56
EL PARAISO,SAN LUCAS,"1,515",8,17,"1,687",35
EL PARAISO,SAN MATIAS,938,20,16,996,19
EL PARAISO,SOLEDAD,"1,215",11,28,"2,333",90
EL PARAISO,TEUPASENTI,"6,396",25,114,"4,923",138
EL PARAISO,TEXIGUAT,"1,359",12,51,"2,035",35
EL PARAISO,VADO ANCHO,861,7,10,812,21
EL PARAISO,YAUYUPE,334,12,22,487,14
EL PARAISO,TROJES,"6,483",36,50,"4,393",175
FRANCISCO MORAZAN,DISTRITO CENTRAL,"188,719","12,444","12,227","89,943","6,325"
FRANCISCO MORAZAN,ALUBAREN,"1,170",22,34,965,23
FRANCISCO MORAZAN,CEDROS,"3,747",87,55,"2,387",113
FRANCISCO MORAZAN,CURAREN,"3,281",19,31,"2,604",99
FRANCISCO MORAZAN,EL PORVENIR,"3,619",41,50,"2,054",326
FRANCISCO MORAZAN,GUAIMACA,"5,201",43,121,"2,611",179
FRANCISCO MORAZAN,LA LIBERTAD,995,14,24,710,25
FRANCISCO MORAZAN,LA VENTA,"1,309",20,94,809,32
FRANCISCO MORAZAN,LEPATERIQUE,"2,546",65,54,"2,674",47
FRANCISCO MORAZAN,MARAITA,"1,914",16,22,"1,287",61
FRANCISCO MORAZAN,MARALE,"1,044",18,22,"1,040",127
FRANCISCO MORAZAN,NUEVA ARMENIA,819,11,76,944,87
FRANCISCO MORAZAN,OJOJONA,"2,032",35,76,"2,232",75
FRANCISCO MORAZAN,ORICA,"2,229",24,37,"1,891",187
FRANCISCO MORAZAN,REITOCA,"1,886",8,7,"2,091",24
FRANCISCO MORAZAN,SABANAGRANDE,"2,915",59,96,"3,246",84
FRANCISCO MORAZAN,SAN ANTONIO DE ORIENTE,"2,178",76,96,"1,974",92
FRANCISCO MORAZAN,SAN BUENAVENTURA,734,16,12,"1,081",21
FRANCISCO MORAZAN,SAN IGNACIO,"2,085",22,16,"1,781",81
FRANCISCO MORAZAN,SAN JUAN DE FLORES,"2,531",31,49,"2,115",114
FRANCISCO MORAZAN,SAN MIGUELITO,728,5,6,536,11
FRANCISCO MORAZAN,SANTA ANA,"2,305",92,98,"1,827",177
FRANCISCO MORAZAN,SANTA LUCIA,"2,363",124,146,"1,159",57
FRANCISCO MORAZAN,TALANGA,"6,141",91,155,"4,830",116
FRANCISCO MORAZAN,TATUMBLA,"1,457",44,38,"1,203",47
FRANCISCO MORAZAN,VALLE DE ANGELES,"2,774",178,212,"2,379",89
FRANCISCO MORAZAN,VILLA SAN FRANCISCO,"2,129",30,53,"1,887",167
FRANCISCO MORAZAN,VALLECILLOS,"1,424",11,96,"1,160",51
GRACIAS A DIOS,PUERTO LEMPIRA,"3,802",26,15,"2,854",51
GRACIAS A DIOS,BRUS LAGUNA,"1,171",8,4,"1,131",18
GRACIAS A DIOS,AHUAS,973,7,7,724,2
GRACIAS A DIOS,JUAN FRANCISCO BULNES,711,20,4,367,11
GRACIAS A DIOS,VILLEDA MORALES,784,8,7,989,10
GRACIAS A DIOS,WAMPUSIRPI,506,5,7,603,29
INTIBUCA,LA ESPERANZA,"2,768",40,37,"1,689",45
INTIBUCA,CAMASCA,"1,355",13,25,889,35
INTIBUCA,COLOMONCAGUA,"2,876",11,31,205,57
INTIBUCA,CONCEPCION,"1,699",20,22,"1,071",29
INTIBUCA,DOLORES,945,9,16,801,8
INTIBUCA,INTIBUCA,"9,254",92,148,"3,504",127
INTIBUCA,JESUS DE OTORO,"5,393",44,51,"2,124",93
INTIBUCA,MAGDALENA,938,5,10,284,18
INTIBUCA,MASAGUARA,"3,014",16,13,"1,429",22
INTIBUCA,SAN ANTONIO,"1,083",13,14,745,39
INTIBUCA,SAN ISIDRO,844,6,2,435,11
INTIBUCA,SAN JUAN,"2,087",17,11,"1,988",32
INTIBUCA,SAN MARCOS SIERRA,"1,652",29,32,228,8
INTIBUCA,SAN MIGUELITO,"1,168",13,31,"1,191",13
INTIBUCA,SANTA LUCIA,"1,015",5,13,474,34
INTIBUCA,YAMARANGUILA,"3,699",32,57,"1,472",78
INTIBUCA,SAN FRANCISCO DE OPALACA,"1,261",12,22,724,42
ISLAS DE LA BAHIA,ROATAN,"4,921",126,67,"2,659",244
ISLAS DE LA BAHIA,GUANAJA,"1,126",11,1,887,11
ISLAS DE LA BAHIA,JOSE SANTOS GUARDIOLA,"1,676",89,20,"1,383",31
ISLAS DE LA BAHIA,UTILA,524,30,14,579,2
LA PAZ,LA PAZ,"5,311",98,143,"4,879",322
LA PAZ,AGUANQUETERIQUE,"1,242",5,8,974,23
LA PAZ,CABAÑAS,667,14,12,285,40
LA PAZ,CANE,425,6,11,956,55
LA PAZ,CHINACLA,"1,248",9,5,968,38
LA PAZ,GUAJIQUIRO,"2,776",6,20,"1,248",31
LA PAZ,LAUTERIQUE,529,7,14,895,9
LA PAZ,MARCALA,"4,179",70,68,"2,835",275
LA PAZ,MERCEDES DE ORIENTE,153,7,16,189,15
LA PAZ,OPATORO,"1,415",21,21,"1,119",37
LA PAZ,SAN ANTONIO DEL NORTE,526,6,7,262,12
LA PAZ,SAN JOSE,"1,288",32,29,788,18
LA PAZ,SAN JUAN,462,4,24,396,12
LA PAZ,SAN PEDRO DE TUTULE,"1,287",6,15,963,29
LA PAZ,SANTA ANA,"1,771",76,35,"1,223",30
LA PAZ,SANTA ELENA,"1,257",30,25,845,69
LA PAZ,SANTA MARIA,"1,814",17,36,"1,673",39
LA PAZ,SANTIAGO DE PURINGLA,"2,984",30,21,"2,417",26
LA PAZ,YARULA,"1,481",11,12,802,22
LEMPIRA,GRACIAS,"8,149",30,101,"4,993",86
LEMPIRA,BELEN,"1,183",2,6,994,24
LEMPIRA,CANDELARIA,"1,094",5,25,"1,126",47
LEMPIRA,COLOLACA,"1,373",12,17,463,17
LEMPIRA,ERANDIQUE,"2,725",3,10,"2,549",30
LEMPIRA,GUALCINCE,"1,714",18,27,679,32
LEMPIRA,GUARITA,"1,600",12,5,619,21
LEMPIRA,LA CAMPA,"1,305",20,14,796,31
LEMPIRA,LA IGUALA,"4,478",86,13,"2,166",47
LEMPIRA,LAS FLORES,"2,083",13,10,"1,119",14
LEMPIRA,LA UNION,"2,431",8,9,"2,180",29
LEMPIRA,LA VIRTUD,"1,372",8,6,"1,045",16
LEMPIRA,LEPAERA,"5,971",20,24,"2,983",49
LEMPIRA,MAPULACA,834,2,6,690,32
LEMPIRA,PIRAERA,"1,964",20,30,"1,379",70
LEMPIRA,SAN ANDRES,"2,187",11,12,"1,350",21
LEMPIRA,SAN FRANCISCO,"1,422",6,10,"1,209",30
LEMPIRA,SAN JUAN GUARITA,511,7,4,272,7
LEMPIRA,SAN MANUEL COLOHETE,"2,058",6,7,"1,910",32
LEMPIRA,SAN RAFAEL,"2,440",6,32,"1,458",41
LEMPIRA,SAN SEBASTIAN,"2,014",6,17,956,8
LEMPIRA,SANTA CRUZ,"1,214",13,11,836,9
LEMPIRA,TALGUA,"1,587",5,35,776,16
LEMPIRA,TAMBLA,394,15,13,229,38
LEMPIRA,TOMALA,930,9,7,963,42
LEMPIRA,VALLADOLID,772,2,7,639,15
LEMPIRA,VIRGINIA,376,0,16,507,7
LEMPIRA,SAN MARCOS DE CAIQUIN,817,6,10,861,25
OCOTEPEQUE,OCOTEPEQUE,"3,568",36,45,"2,783",160
OCOTEPEQUE,BELEN GUALCHO,"2,973",8,6,"2,515",19
OCOTEPEQUE,CONCEPCION,801,25,17,732,42
OCOTEPEQUE,DOLORES MERENDON,718,9,8,750,5
OCOTEPEQUE,FRATERNIDAD,495,6,14,492,5
OCOTEPEQUE,LA ENCARNACION,"1,052",1,6,"1,116",6
OCOTEPEQUE,LA LABOR,"1,065",15,40,"1,240",32
OCOTEPEQUE,LUCERNA,965,10,18,915,29
OCOTEPEQUE,MERCEDES,"1,205",23,21,674,43
OCOTEPEQUE,SAN FERNANDO,922,17,7,"1,524",6
OCOTEPEQUE,SAN FRANCISCO DEL VALLE,"1,044",15,25,"1,219",39
OCOTEPEQUE,SAN JORGE,"1,174",2,16,869,9
OCOTEPEQUE,SAN MARCOS,"2,608",40,53,"2,566",72
OCOTEPEQUE,SANTA FE,964,20,20,574,9
OCOTEPEQUE,SENSENTI,"1,652",17,74,"1,369",36
OCOTEPEQUE,SINUAPA,961,22,13,"1,380",40
OLANCHO,JUTICALPA,"19,694",232,369,"8,754",197
OLANCHO,CAMPAMENTO,"4,427",37,44,"2,204",218
OLANCHO,CATACAMAS,"14,323",164,207,"5,972",838
OLANCHO,CONCORDIA,"2,284",7,15,"1,449",29
OLANCHO,DULCE NOMBRE DE CULMI,"3,817",24,53,"1,825",164
OLANCHO,EL ROSARIO,"1,122",2,3,"1,066",5
OLANCHO,ESQUIPULAS DEL NORTE,"1,661",1,10,944,19
OLANCHO,GUALACO,"3,314",16,24,"2,405",43
OLANCHO,GUARIZAMA,"1,905",10,6,"1,155",10
OLANCHO,GUATA,"2,441",1,3,"1,849",15
OLANCHO,GUAYAPE,"2,292",11,24,"1,249",102
OLANCHO,JANO,"1,130",4,5,955,6
OLANCHO,LA UNION,"1,621",5,34,"1,329",59
OLANCHO,MANGULILE,"1,676",1,5,"1,264",11
OLANCHO,MANTO,"2,262",9,9,"1,577",16
OLANCHO,SALAMA,"1,649",6,13,"1,309",45
OLANCHO,SAN ESTEBAN,"3,327",42,75,"2,920",36
OLANCHO,SAN FRANCISCO DE BECERRA,"2,004",16,14,"1,697",29
OLANCHO,SAN FRANCISCO DE LA PAZ,"3,779",29,24,"2,513",93
OLANCHO,SANTA MARIA DEL REAL,"2,179",17,74,"1,176",94
OLANCHO,SILCA,"1,394",6,16,"1,737",22
OLANCHO,YOCON,"2,256",2,8,"1,742",12
OLANCHO,PATUCA,"4,453",35,182,"2,623",213
SANTA BARBARA,SANTA BARBARA,"7,444",86,177,"4,400",431
SANTA BARBARA,ARADA,"2,538",12,20,"2,051",112
SANTA BARBARA,ATIMA,"3,233",12,26,"2,221",144
SANTA BARBARA,AZACUALPA,"2,660",16,42,592,17
SANTA BARBARA,CEGUACA,"1,325",12,13,"1,062",19
SANTA BARBARA,SAN JOSE DE COLINAS,"3,116",28,30,"2,849",223
SANTA BARBARA,CONCEPCION DEL NORTE,"2,112",11,16,"1,657",49
SANTA BARBARA,CONCEPCION DEL SUR,"1,235",5,7,"1,688",23
SANTA BARBARA,CHINDA,864,9,9,899,33
SANTA BARBARA,EL NISPERO,"2,039",17,27,"1,791",102
SANTA BARBARA,GUALALA,474,12,16,970,41
SANTA BARBARA,ILAMA,"1,801",26,28,647,42
SANTA BARBARA,MACUELIZO,"4,131",83,92,"1,957",104
SANTA BARBARA,NARANJITO,"2,225",14,13,"1,309",19
SANTA BARBARA,NUEVO CELILAC,"1,230",16,25,"1,237",51
SANTA BARBARA,PETOA,"2,246",21,25,"1,471",33
SANTA BARBARA,PROTECCION,"1,804",24,23,891,77
SANTA BARBARA,QUIMISTAN,"5,934",113,207,"2,197",93
SANTA BARBARA,SAN FRANCISCO DE OJUERA,"1,715",9,17,"1,127",20
SANTA BARBARA,SAN LUIS,"4,310",41,47,"3,233",149
SANTA BARBARA,SAN MARCOS,"1,672",28,20,"1,106",55
SANTA BARBARA,SAN NICOLAS,"1,766",12,25,"1,173",161
SANTA BARBARA,SAN PEDRO DE ZACAPA,"2,178",12,25,"2,584",40
SANTA BARBARA,SANTA RITA,891,3,11,546,33
SANTA BARBARA,SAN VICENTE CENTENARIO,741,5,2,690,67
SANTA BARBARA,TRINIDAD,"2,798",30,40,"2,692",154
SANTA BARBARA,LAS VEGAS,"4,251",62,69,"3,641",368
SANTA BARBARA,NUEVA FRONTERA,"1,917",6,51,"1,642",130
VALLE,NACAOME,"8,813",55,474,"8,188",320
VALLE,ALIANZA,"1,582",10,16,"1,603",27
VALLE,AMAPALA,"2,476",12,49,"2,516",75
VALLE,ARAMECINA,"1,325",8,71,"1,209",167
VALLE,CARIDAD,"1,083",6,10,743,70
VALLE,GOASCORAN,"3,111",28,50,"2,537",49
VALLE,LANGUE,"4,268",17,69,"2,924",200
VALLE,SAN FRANCISCO DE CORAY,"2,244",3,14,"1,775",25
VALLE,SAN LORENZO,"7,792",86,276,"6,285",313
YORO,YORO,"11,179",73,195,"6,664",220
YORO,ARENAL,"1,596",5,11,782,50
YORO,EL NEGRITO,"4,343",72,229,"2,021",78
YORO,EL PROGRESO,"17,810","1,014","1,059","17,256",885
YORO,JOCON,"1,890",4,36,"1,958",28
YORO,MORAZAN,"5,202",37,204,"3,230",175
YORO,OLANCHITO,"11,487",114,140,"7,220",715
YORO,SANTA RITA,"3,776",305,134,"2,951",218
YORO,SULACO,"2,769",13,13,"1,934",827
YORO,VICTORIA,"3,385",25,32,"2,528",99
YORO,YORITO,"2,719",17,66,"2,081",62
ESTADOS UNIDOS,HOUSTON,"1,542",49,32,647,11
ESTADOS UNIDOS,LOS ANGELES,79,9,7,40,0
ESTADOS UNIDOS,MIAMI,69,10,7,50,0
ESTADOS UNIDOS,NEW ORLEANS,35,4,5,27,0
ESTADOS UNIDOS,NEW YORK,111,4,0,44,0
ESTADOS UNIDOS,WASHINGTON,106,8,14,94,1
