Departamento,Municipio,PN,PINU,DC,PL,UD
La Paz,Aguanqueterique,1242,5,8,974,23
Gracias a Dios,Ahuas,973,7,7,724,2
Comayagua,Ajuterique,2148,16,19,1464,116
El Paraíso,Alauca,2352,10,10,1813,38
Valle,Alianza,1582,10,16,1603,27
Francisco Morazán,Alubaren,1170,22,34,965,23
Valle,Amapala,2476,12,49,2516,75
Choluteca,Apacilagua,2356,9,79,1677,43
Santa Bárbara,Arada,2538,12,20,2051,112
Valle,Aramecina,1325,8,71,1209,167
Yoro,Arenal,1596,5,11,782,50
Atlántida,Arizona,3217,44,64,3325,113
Santa Bárbara,Atima,3233,12,26,2221,144
Santa Bárbara,Azacualpa,2660,16,42,592,17
Colón,Balfate,1176,30,45,957,54
Lempira,Belen,1183,2,6,994,24
Ocotepeque,Belen Gualcho,2973,8,6,2515,19
Colón,Bonito Oriental,3675,34,26,2232,234
Gracias a Dios,Brus Laguna,1171,8,4,1131,18
Copán,Cabana,2507,9,25,2250,17
La Paz,Cabanas,667,14,12,285,40
Intibucá,Camasca,1355,13,25,889,35
Olancho,Campamento,4427,37,44,2204,218
Lempira,Candelaria,1094,5,25,1126,47
La Paz,Cane,425,6,11,956,55
Valle,Caridad,1083,6,10,743,70
Olancho,Catacamas,14323,164,207,5972,838
Francisco Morazán,Cedros,3747,87,55,2387,113
Santa Bárbara,Ceguaca,1325,12,13,1062,19
La Paz,Chinacla,1248,9,5,968,38
Santa Bárbara,Chinda,864,9,9,899,33
Cortés,Choloma,22705,1183,1039,15947,821
Choluteca,Choluteca,22829,511,942,17544,379
Lempira,Cololaca,1373,12,17,463,17
Intibucá,Colomoncagua,2876,11,31,205,57
Comayagua,Comayagua,15772,527,484,11637,551
Copán,Concepcion,1314,16,13,846,12
Intibucá,Concepcion,1699,20,22,1071,29
Ocotepeque,Concepción,801,25,17,732,42
Choluteca,Concepcion de Maria,6210,51,95,2418,53
Santa Bárbara,Concepcion del Norte,2112,11,16,1657,49
Santa Bárbara,Concepcion del Sur,1235,5,7,1688,23
Olancho,Concordia,2284,7,15,1449,29
Copán,Copan Ruinas,7151,23,46,6404,83
Copán,Corquin,2488,18,16,903,30
Copán,Cucuyagua,2580,13,23,2533,42
Francisco Morazán,Curaren,3281,19,31,2604,99
El Paraíso,Danli,21620,430,696,16445,767
Francisco Morazán,Distrito Central,188719,12444,12227,89943,6325
Copán,Dolores,1020,8,24,896,7
Intibucá,Dolores,945,9,16,801,8
Ocotepeque,Dolores Merendon,718,9,8,750,5
Copán,Dulce Nombre,1084,18,19,1095,60
Olancho,Dulce Nombre de Culmi,3817,24,53,1825,164
Choluteca,Duyure,1065,9,13,352,75
Choluteca,El Corpus,4369,53,116,2277,33
Yoro,El Negrito,4343,72,229,2021,78
Santa Bárbara,El Nispero,2039,17,27,1791,102
Copán,El Paraiso,8151,31,25,674,25
El Paraíso,El Paraiso,7780,67,106,6036,163
Atlántida,El Porvenir,2806,150,39,2140,60
Francisco Morazán,El Porvenir,3619,41,50,2054,326
Yoro,El Progreso,17810,1014,1059,17256,885
Comayagua,El Rosario,4111,43,58,2477,50
Olancho,El Rosario,1122,2,3,1066,5
Choluteca,El Triunfo,8503,144,337,4574,94
Lempira,Erandique,2725,3,10,2549,30
Atlántida,Esparta,2305,35,33,2407,199
Comayagua,Esquias,2289,18,25,981,21
Olancho,Esquipulas del Norte,1661,1,10,944,19
Copán,Florida,3137,50,47,3763,62
Ocotepeque,Fraternidad,495,6,14,492,5
Valle,Goascoran,3111,28,50,2537,49
Lempira,Gracias,8149,30,101,4993,86
Francisco Morazán,Guaimaca,5201,43,121,2611,179
La Paz,Guajiquiro,2776,6,20,1248,31
Olancho,Gualaco,3314,16,24,2405,43
Santa Bárbara,Gualala,474,12,16,970,41
Lempira,Gualcince,1714,18,27,679,32
Islas de la Bahía,Guanaja,1126,11,1,887,11
Lempira,Guarita,1600,12,5,619,21
Olancho,Guarizama,1905,10,6,1155,10
Olancho,Guata,2441,1,3,1849,15
Olancho,Guayape,2292,11,24,1249,102
El Paraíso,Guinope,2029,30,66,1625,66
Comayagua,Humuya,418,4,10,284,29
Santa Bárbara,Ilama,1801,26,28,647,42
Intibucá,Intibuca,9254,92,148,3504,127
Colón,Iriona,1714,31,28,1557,142
El Paraíso,Jacaleapa,1319,16,20,1114,62
Olancho,Jano,1130,4,5,955,6
Intibucá,Jesus de Otoro,5393,44,51,2124,93
Yoro,Jocon,1890,4,36,1958,28
Islas de la Bahía,Jose Santos Guardiola,1676,89,20,1383,31
Gracias a Dios,Juan Francisco  Bulnes,711,20,4,367,11
Atlántida,Jutiapa,5266,70,45,3028,217
Olancho,Juticalpa,19694,232,369,8754,197
Lempira,La Campa,1305,20,14,796,31
Atlántida,La Ceiba,22298,2529,621,15773,560
Ocotepeque,La Encarnacion,1052,1,6,1116,6
Intibucá,La Esperanza,2768,40,37,1689,45
Lempira,La Iguala,4478,86,13,2166,47
Copán,La Jigua,1579,18,33,1009,48
Ocotepeque,La Labor,1065,15,40,1240,32
Comayagua,La Libertad,3502,21,51,2021,93
Francisco Morazán,La Libertad,995,14,24,710,25
Cortés,La Lima,7174,1260,805,7538,337
Atlántida,La Masica,4457,54,49,3650,211
La Paz,La Paz,5311,98,143,4879,322
Comayagua,La Trinidad,781,8,8,814,11
Copán,La Union,3084,13,26,1401,88
Lempira,La Union,2431,8,9,2180,29
Olancho,La Union,1621,5,34,1329,59
Francisco Morazán,La Venta,1309,20,94,809,32
Lempira,La Virtud,1372,8,6,1045,16
Comayagua,Lamani,845,13,20,728,55
Valle,Langue,4268,17,69,2924,200
Lempira,Las Flores,2083,13,10,1119,14
Comayagua,Las Lajas,1617,20,22,1401,23
Santa Bárbara,Las Vegas,4251,62,69,3641,368
La Paz,Lauterique,529,7,14,895,9
Comayagua,Lejamani,1507,19,5,992,84
Lempira,Lepaera,5971,20,24,2983,49
Francisco Morazán,Lepaterique,2546,65,54,2674,47
Colón,Limon,955,41,9,902,60
El Paraíso,Liure,2120,20,25,2273,44
Ocotepeque,Lucerna,965,10,18,915,29
Santa Bárbara,Macuelizo,4131,83,92,1957,104
Intibucá,Magdalena,938,5,10,284,18
Olancho,Mangulile,1676,1,5,1264,11
Olancho,Manto,2262,9,9,1577,16
Lempira,Mapulaca,834,2,6,690,32
Francisco Morazán,Maraita,1914,16,22,1287,61
Francisco Morazán,Marale,1044,18,22,1040,127
La Paz,Marcala,4179,70,68,2835,275
Choluteca,Marcovia,5322,132,384,5929,95
Intibucá,Masaguara,3014,16,13,1429,22
Comayagua,Meambar,1625,14,9,1357,18
Ocotepeque,Mercedes,1205,23,21,674,43
La Paz,Mercedes de Oriente,153,7,16,189,15
Comayagua,Minas de Oro,1588,21,10,1652,21
Yoro,Morazan,5202,37,204,3230,175
El Paraíso,Moroceli,2586,51,44,2336,70
Choluteca,Morolica,1514,7,19,1086,10
Valle,Nacaome,8813,55,474,8188,320
Choluteca,Namasigue,5351,48,217,5127,54
Santa Bárbara,Naranjito,2225,14,13,1309,19
Copán,Nueva Arcadia,4967,78,118,3674,100
Francisco Morazán,Nueva Armenia,819,11,76,944,87
Santa Bárbara,Nueva Frontera,1917,6,51,1642,130
Santa Bárbara,Nuevo Celilac,1230,16,25,1237,51
Ocotepeque,Ocotepeque,3568,36,45,2783,160
Comayagua,Ojos de Agua,1623,10,10,1936,35
Francisco Morazán,Ojojona,2032,35,76,2232,75
Yoro,Olanchito,11487,114,140,7220,715
Cortés,Omoa,7489,248,150,3835,169
La Paz,Opatoro,1415,21,21,1119,37
Francisco Morazán,Orica,2229,24,37,1891,187
Choluteca,Orocuina,4020,24,48,2381,38
El Paraíso,Oropoli,2138,13,17,1172,87
Olancho,Patuca,4453,35,182,2623,213
Choluteca,Pespire,5573,34,169,2641,55
Santa Bárbara,Petoa,2246,21,25,1471,33
Cortés,Pimienta,3202,79,94,1151,51
Lempira,Piraera,1964,20,30,1379,70
Cortés,Potrerillos,3568,61,80,2754,78
El Paraíso,Potrerillos,558,9,19,501,29
Santa Bárbara,Proteccion,1804,24,23,891,77
Cortés,Puerto Cortes,18293,970,843,14827,475
Gracias a Dios,Puerto Lempira,3802,26,15,2854,51
Santa Bárbara,Quimistan,5934,113,207,2197,93
Gracias a Dios,Ramón Villeda Morales,784,8,7,989,10
Francisco Morazán,Reitoca,1886,8,7,2091,24
Islas de la Bahía,Roatan,4921,126,67,2659,244
Colón,Saba,3900,25,48,2912,100
Francisco Morazán,Sabanagrande,2915,59,96,3246,84
Olancho,Salama,1649,6,13,1309,45
Copán,San Agustin,1084,6,9,779,6
Lempira,San Andres,2187,11,12,1350,21
Copán,San Antonio,1941,11,28,1486,30
Intibucá,San Antonio,1083,13,14,745,39
Cortés,San Antonio de Cortes,3370,83,86,2399,111
Choluteca,San Antonio de Flores,1564,11,20,1148,27
El Paraíso,San Antonio de Flores,1504,11,14,934,56
Francisco Morazán,San Antonio de Oriente,2178,76,96,1974,92
La Paz,San Antonio del Norte,526,6,7,262,12
Francisco Morazán,San Buenaventura,734,16,12,1081,21
Olancho,San Esteban,3327,42,75,2920,36
Ocotepeque,San Fernando,922,17,7,1524,6
Atlántida,San Francisco,1809,39,32,1918,81
Lempira,San Francisco,1422,6,10,1209,30
Olancho,San Francisco de Becerra,2004,16,14,1697,29
Valle,San Francisco de Coray,2244,3,14,1775,25
Olancho,San Francisco de La Paz,3779,29,24,2513,93
Santa Bárbara,San Francisco de Ojuera,1715,9,17,1127,20
Intibucá,San Francisco de Opalaca,1261,12,22,724,42
Cortés,San Francisco de Yojoa,2805,126,92,2139,106
Ocotepeque,San Francisco del Valle,1044,15,25,1219,39
Francisco Morazán,San Ignacio,2085,22,16,1781,81
Choluteca,San Isidro,1065,7,20,860,13
Intibucá,San Isidro,844,6,2,435,11
Comayagua,San Jeronimo,3706,21,37,1839,58
Copán,San Jerónimo,986,5,17,1294,14
Ocotepeque,San Jorge,1174,2,16,869,9
Choluteca,San Jose,1179,12,25,604,25
Copán,San Jose,1589,12,10,1287,21
La Paz,San Jose,1288,32,29,788,18
Santa Bárbara,San Jose de Colinas,3116,28,30,2849,223
Comayagua,San Jose de Comayagua,1284,15,68,1147,39
Comayagua,San Jose del Potrero,402,2,12,968,36
Intibucá,San Juan,2087,17,11,1988,32
La Paz,San Juan,462,4,24,396,12
Francisco Morazán,San Juan de Flores,2531,31,49,2115,114
Copán,San Juan de Opoa,2043,7,22,1157,28
Lempira,San Juan Guarita,511,7,4,272,7
Valle,San Lorenzo,7792,86,276,6285,313
El Paraíso,San Lucas,1515,8,17,1687,35
Comayagua,San Luis,1191,10,27,1259,27
Santa Bárbara,San Luis,4310,41,47,3233,149
Cortés,San Manuel,3403,276,186,3505,143
Lempira,San Manuel Colohete,2058,6,7,1910,32
Ocotepeque,San Marcos,2608,40,53,2566,72
Santa Bárbara,San Marcos,1672,28,20,1106,55
Lempira,San Marcos de Caiquin,817,6,10,861,25
Choluteca,San Marcos de Colon,5843,55,140,3956,104
Intibucá,San Marcos de Sierra,1652,29,32,228,8
El Paraíso,San Matias,938,20,16,996,19
Francisco Morazán,San Miguelito,728,5,6,536,11
Intibucá,San Miguelito,1168,13,31,1191,13
Copán,San Nicolas,1441,11,10,1357,38
Santa Bárbara,San Nicolas,1766,12,25,1173,161
Copán,San Pedro,1268,10,6,1422,13
La Paz,San Pedro de Tutule,1287,6,15,963,29
Cortés,San Pedro Sula,84040,7260,4649,56899,2095
Santa Bárbara,San Pedro Zacapa,2178,12,25,2584,40
Lempira,San Rafael,2440,6,32,1458,41
Comayagua,San Sebastian,792,4,12,139,10
Lempira,San Sebastian,2014,6,17,956,8
Santa Bárbara,San Vicente Centenario,741,5,2,690,67
Francisco Morazán,Santa Ana,2305,92,98,1827,177
La Paz,Santa Ana,1771,76,35,1223,30
Choluteca,Santa Ana de Yusguare,3023,24,58,2253,42
Santa Bárbara,Santa Barbara,7444,86,177,4400,431
Lempira,Santa Cruz,1214,13,11,836,9
Cortés,Santa Cruz de Yojoa,10297,256,253,7291,269
La Paz,Santa Elena,1257,30,25,845,69
Colón,Santa Fe,608,98,14,695,29
Ocotepeque,Santa Fe,964,20,20,574,9
Francisco Morazán,Santa Lucia,2363,124,146,1159,57
Intibucá,Santa Lucia,1015,5,13,474,34
La Paz,Santa Maria,1814,17,36,1673,39
Olancho,Santa Maria del Real,2179,17,74,1176,94
Copán,Santa Rita,4060,37,135,2699,48
Santa Bárbara,Santa Rita,891,3,11,546,33
Yoro,Santa Rita,3776,305,134,2951,218
Colón,Santa Rosa de Aguan,1007,65,6,643,24
Copán,Santa Rosa de Copan,7069,209,181,5085,225
La Paz,Santiago de Puringla,2984,30,21,2417,26
Ocotepeque,Sensenti,1652,17,74,1369,36
Comayagua,Siguatepeque,12944,697,375,9266,225
Olancho,Silca,1394,6,16,1737,22
Ocotepeque,Sinuapa,961,22,13,1380,40
El Paraíso,Soledad,1215,11,28,2333,90
Colón,Sonaguera,5247,41,70,2933,256
Yoro,Sulaco,2769,13,13,1934,827
Francisco Morazán,Talanga,6141,91,155,4830,116
Lempira,Talgua,1587,5,35,776,16
Lempira,Tambla,394,15,13,229,38
Francisco Morazán,Tatumbla,1457,44,38,1203,47
Comayagua,Taulabe,3602,55,64,3010,78
Atlántida,Tela,13496,889,460,7980,292
El Paraíso,Teupasenti,6396,25,114,4923,138
El Paraíso,Texiguat,1359,12,51,2035,35
Colón,Tocoa,9476,94,118,5688,535
Lempira,Tomala,930,9,7,963,42
Copán,Trinidad,1493,7,30,844,15
Santa Bárbara,Trinidad de Copan,2798,30,40,2692,154
El Paraíso,Trojes,6483,36,50,4393,175
Colón,Trujillo,6358,286,125,5009,217
Islas de la Bahía,Utila,524,30,14,579,2
El Paraíso,Vado Ancho,861,7,10,812,21
Lempira,Valladolid,772,2,7,639,15
Francisco Morazán,Valle de Angeles,2774,178,212,2379,89
Francisco Morazán,Vallecillo,1424,11,96,1160,51
Copán,Veracruz,658,7,6,491,9
Yoro,Victoria,3385,25,32,2528,99
