Departamento,Partido,Diputado,Marcas,Quedo
Atlantida,PARTIDO NACIONAL DE HONDURAS,RODOLFO IRIAS NAVAS,"42,761",SI
Atlantida,PARTIDO LIBERTAD Y REFUNDACION,CESAR HUMBERTO AGURCIA LOPEZ,"27,175",SI
Atlantida,PARTIDO NACIONAL DE HONDURAS,CARMEN ESPERANZA RIVERA PAGOAGA,"42,718",SI
Atlantida,PARTIDO LIBERAL DE HONDURAS,CHRISTIAN RENIERY SANTAMARIA,"28,499",SI
Atlantida,PARTIDO LIBERTAD Y REFUNDACION,AUDELIA RODRIGUEZ RODRIGUEZ,"27,138",SI
Atlantida,PARTIDO ANTICORRUPCION,KRITZA JERLIN PEREZ GALLEGOS,"14,574",SI
Atlantida,PARTIDO NACIONAL DE HONDURAS,RAMON ANTONIO LEVA BULNES,"37,854",SI
Atlantida,PARTIDO LIBERAL DE HONDURAS,MARIA ARACELY LEIVA PEÑA,"22,059",SI
Atlantida,PARTIDO DEMOCRATA CRISTIANO,GLORIA MARIA SARMIENTO NUÑEZ,"6,040",No
Atlantida,PARTIDO INNOVACION Y UNIDAD SD,BERNARD MARTINEZ VALERIO,"4,771",No
Atlantida,PARTIDO UNIFICACION DEMOCRATICA,MARIA ALBERTO HERNANDEZ,"2,091",No
Atlantida,PARTIDO FRENTE AMPLIO POLITICO ELECTORAL,CRISTOBAL CRISPI OLIVA MEJIA,"1,927",No
Atlantida,PARTIDO ALIANZA PATRIOTICA,DAGOBERTO CRUZ SANTOS,"1,194",No
Atlantida,PARTIDO LIBERTAD Y REFUNDACION,JOAQUIN BALDEMAR ALVARADO,"26,477",No
Atlantida,PARTIDO ANTICORRUPCION,TOMAS ANTONIO RAMIREZ HERNANDEZ,"14,230",No
Atlantida,PARTIDO NACIONAL DE HONDURAS,DANIEL FLORES VELASQUEZ,"36,670",No
Atlantida,PARTIDO LIBERAL DE HONDURAS,JERRY FRANCISCO SABIO AMAYA,"21,038",No
Atlantida,PARTIDO DEMOCRATA CRISTIANO,JOSE ARMANDO LOGAN,"5,507",No
Atlantida,PARTIDO INNOVACION Y UNIDAD SD,GLADYS LIZZETTE ZAPATA GUERRERO,"1,868",No
Atlantida,PARTIDO UNIFICACION DEMOCRATICA,ALDO JAVIER CARDONA ALVARADO,"2,048",No
Atlantida,PARTIDO FRENTE AMPLIO POLITICO ELECTORAL,NORMA PATRICIA GUEVARA GAMEZ,773,No
Atlantida,PARTIDO ALIANZA PATRIOTICA,MIRTHA ESTHER HERNANDEZ DOLMO,"1,090",No
Atlantida,PARTIDO LIBERTAD Y REFUNDACION,JOSE ANIBAL RODRIGUEZ MILLA,"26,374",No
Atlantida,PARTIDO ANTICORRUPCION,MARIE JEANNETTE KAWAS GIACOMAN,"13,102",No
Atlantida,PARTIDO NACIONAL DE HONDURAS,MARCO ANTONIO MIDENCE MILLA,"36,365",No
Atlantida,PARTIDO LIBERAL DE HONDURAS,GONZALO ANTONIO RIVERA,"19,054",No
Atlantida,PARTIDO DEMOCRATA CRISTIANO,JORGE ALBERTO ELVIR CRUZ,"3,196",No
