Departamento,Municipio,Democrata Cristiano,Alianza Patriotica,Liberal,PAC,LIBRE,ALIANZA UD-FAPER,PINU-SD,Nacional,VOTOS BLANCOS,VOTOS NULOS
Atlantida,LA CEIBA,118,137,12151,12889,14841,51,88,17316,708,1412
Atlantida,EL PORVENIR,16,26,1432,1047,2357,11,5,2026,101,202
Atlantida,ESPARTA,4,13,2101,893,1158,9,5,2042,125,265
Atlantida,JUTIAPA,8,2,1102,625,4088,7,6,6033,238,633
Atlantida,LA MASICA,13,18,1697,1562,3677,10,3,4149,160,438
Atlantida,SAN FRANCISCO,8,1,746,437,2676,3,1,1633,91,181
Atlantida,TELA,53,58,8620,6010,7180,43,44,9488,501,1407
Atlantida,ARIZONA,14,7,2109,1619,2163,10,5,2465,140,470
Colon,TRUJILLO,31,18,3370,893,7880,28,105,6636,340,776
Colon,BALFATE,1,7,541,80,1258,2,3,1874,73,181
Colon,IRIONA,9,7,634,48,2162,10,7,712,134,143
Colon,LIMON,4,14,594,102,1596,5,7,1049,153,148
Colon,SABA,14,21,2728,691,5744,47,5,3590,169,444
Colon,SANTA FE,5,4,215,49,682,4,4,1122,68,112
Colon,SANTA ROSA AGUAN,6,4,268,77,955,1,4,1095,48,68
Colon,SONAGUERA,12,8,1715,730,7397,18,4,5898,168,554
Colon,TOCOA,45,20,5362,1246,13895,40,29,6642,298,851
Colon,BONITO ORIENTAL,6,9,1216,372,4961,9,13,3770,168,372
Comayagua,COMAYAGUA,46,108,10724,7771,11267,49,43,13699,806,1613
Comayagua,AJUTERIQUE,15,25,695,291,2390,3,6,2489,85,123
Comayagua,EL ROSARIO,17,13,974,723,2285,3,8,4674,248,412
Comayagua,ESQUIAS,6,7,1062,212,963,5,5,2886,105,270
Comayagua,HUMUYA,1,0,78,65,344,0,3,469,19,22
Comayagua,LA LIBERTAD,5,15,1036,518,2780,3,7,3717,127,306
Comayagua,LAMANI,2,3,326,195,1490,0,1,1155,61,110
Comayagua,LA TRINIDAD,7,7,683,112,311,9,7,845,84,142
Comayagua,LEJAMANI,6,0,334,234,1568,2,0,1354,64,77
Comayagua,MEAMBAR,6,7,815,141,885,4,3,1877,128,200
Comayagua,MINAS DE ORO,5,4,1938,173,857,0,4,1991,88,158
Comayagua,OJOS DE AGUA,3,2,457,277,1853,3,3,2204,100,137
Comayagua,SAN JERONIMO,10,11,796,435,2394,5,11,4519,125,330
