Departamento,Municipio,Liberal,Nacional,PINU-SD,Democrata Cristiano,UD,PAC,LIBRE,Alianza Patriotica,Frente Amplio,VAMOS,Candidaturas Independientes,Votos Independiente
Atlantida,LA CEIBA,28519,17530,350,992,67,154,7758,826,50,326,1,0
Atlantida,EL PORVENIR,2718,3214,131,12,0,66,1615,28,6,59,0,0
Atlantida,ESPARTA,3900,2098,650,13,0,19,134,41,2,2,0,0
Atlantida,JUTIAPA,7696,6486,13,8,0,13,400,38,0,6,0,0
Atlantida,LA MASICA,4556,5271,14,11,0,0,2559,48,6,22,0,0
Atlantida,SAN FRANCISCO,239,2032,2,3,0,8,3484,39,1,15,0,0
Atlantida,TELA,9387,11284,742,151,464,633,6835,677,125,602,0,0
Atlantida,ARIZONA,5505,4623,6,5,1,15,118,17,0,1,0,0
Colon,TRUJILLO,2061,8111,132,34,15,0,10031,98,21,4,0,0
Colon,BALFATE,700,2312,0,49,9,0,906,9,2,6,0,0
Colon,IRIONA,1220,1782,0,14,8,10,840,0,0,6,0,0
Colon,LIMON,1740,1417,0,7,2,0,227,0,0,4,0,0
Colon,SABA,4493,3993,20,12,10,1,1680,129,0,4,2,3450
Colon,SANTA FE,216,1682,0,15,5,0,217,7,3,3,1,66
Colon,SANTA ROSA AGUAN,320,1649,0,4,5,0,266,0,0,3,0,0
Colon,SONAGUERA,1219,7239,0,19,20,9,8653,58,80,6,0,0
Colon,TOCOA,7087,7971,473,187,33,96,10524,312,0,25,1,811
Colon,BONITO ORIENTAL,353,5927,59,6,3,4,5387,0,0,7,1,151
Comayagua,COMAYAGUA,30206,10544,1240,56,97,327,4835,330,31,105,2,753
Comayagua,AJUTERIQUE,104,3304,7,0,6,6,2539,0,2,5,0,0
Comayagua,EL ROSARIO,58,6347,11,0,5,7,3485,0,17,6,0,0
Comayagua,ESQUIAS,672,1915,0,12,10,12,208,0,0,11,1,3215
Comayagua,HUMUYA,142,936,8,0,0,1,78,0,0,1,0,0
Comayagua,LA LIBERTAD,5435,4236,5,0,7,0,193,0,6,3,0,0
Comayagua,LAMANI,161,1649,41,2,9,1,1628,0,2,2,0,0
Comayagua,LA TRINIDAD,1073,1187,0,2,0,0,41,0,0,1,0,0
Comayagua,LEJAMANI,7,1869,1,0,3,1,2116,0,0,1,0,0
Comayagua,MEAMBAR,1528,2690,0,0,4,2,190,9,1,3,0,0
Comayagua,MINAS DE ORO,3672,1948,1,0,3,2,41,7,5,5,0,0
Comayagua,OJOS DE AGUA,2337,2964,5,0,1,0,13,0,0,2,0,0
Comayagua,SAN JERONIMO,235,4571,389,6,5,26,4116,0,12,1,0,0
Comayagua,SAN JOSE DE COMAYAGUA,2089,1576,0,0,1,4,51,0,0,0,1,0
Comayagua,SAN JOSE DEL POTRERO,1953,370,2,0,0,0,238,0,0,0,0,0
Comayagua,SAN LUIS,2744,2549,3,0,5,0,66,0,0,1,0,0
Comayagua,SAN SEBASTIAN,617,1213,1,1,1,0,91,0,0,0,0,0
Comayagua,SIGUATEPEQUE,10971,16212,655,110,40,905,2198,1130,22,35,1,1618
Comayagua,VILLA DE SAN ANTONIO,241,3214,31,3,15,0,162,0,11,4,1,5289
Comayagua,LAS LAJAS,4062,2071,0,0,6,0,187,10,2,2,0,0
Comayagua,TAULABE,5413,4625,0,2,7,102,841,22,2,11,0,0
Copan,SANTA ROSA DE COPAN,14950,5024,628,123,19,117,774,0,56,5,0,0
Copan,CABAÑAS,3776,2914,2,0,3,0,9,2,2,0,0,0
Copan,CONCEPCION,254,2551,2,1,0,2,365,4,2,1,0,0
Copan,COPAN RUINAS,9496,8202,9,18,6,32,709,13,6,1,0,0
Copan,CORQUIN,53,4112,2,0,3,5,2273,9,1,2,0,0
Copan,CUCUYAGUA,4696,4513,0,3,2,3,33,6,1,2,0,0
Copan,DOLORES,1642,1685,0,1,1,1,1,2,0,1,0,0
Copan,DULCE NOMBRE,1768,1797,0,1,0,1,3,0,1,2,0,0
Copan,EL PARAISO,2868,5451,6,5,6,1,60,30,15,4,0,0
Copan,FLORIDA,6961,2462,2,5,6,3,216,8,5,3,0,0
Copan,LA JIGUA,1406,2708,1,5,0,3,43,8,1,3,0,0
