Departamento,Municipio,Liberal,Nacional,Libre-PINU,Democrata Cristiano,UD,PAC,Alianza Patriotica,Frente Amplio,VAMOS
Atlantida,LA CEIBA,8946,17976,30485,96,40,84,180,55,75
Atlantida,EL PORVENIR,1254,2830,3644,13,14,21,8,7,17
Atlantida,ESPARTA,1534,2409,2895,6,8,8,21,7,4
Atlantida,JUTIAPA,1491,6205,6799,3,7,13,17,9,6
Atlantida,LA MASICA,1441,4697,6230,8,6,15,10,2,8
Atlantida,SAN FRANCISCO,347,1841,3596,6,13,4,4,4,2
Atlantida,TELA,4085,12488,15006,45,50,72,70,44,22
Atlantida,ARIZONA,1096,4004,5006,13,14,9,12,4,9
Colon,TRUJILLO,2149,8109,10141,14,28,3,31,16,18
Colon,BALFATE,492,2060,1539,4,5,4,5,2,2
Colon,IRIONA,706,1735,1299,10,10,11,18,5,8
Colon,LIMON,507,1270,1528,9,5,4,13,3,2
Colon,SABA,1026,4062,8821,19,28,10,12,15,10
Colon,SANTA FE,323,1221,614,10,6,5,11,5,3
Colon,SANTA ROSA AGUAN,244,1157,770,7,3,3,2,1,3
Colon,SONAGUERA,1129,6620,9477,22,19,11,23,16,12
Colon,TOCOA,3445,7948,16843,47,30,30,28,16,20
Colon,BONITO ORIENTAL,735,5120,5947,23,15,16,16,12,7
Comayagua,COMAYAGUA,7722,21309,20172,82,55,92,78,33,27
Comayagua,AJUTERIQUE,368,3093,2563,2,4,4,4,4,1
Comayagua,EL ROSARIO,893,5618,3283,13,12,16,12,3,8
Comayagua,ESQUIAS,713,3626,1541,16,22,14,9,7,2
Comayagua,HUMUYA,87,686,375,1,0,0,0,0,1
Comayagua,LA LIBERTAD,1407,4722,3506,15,9,9,4,3,1
Comayagua,LAMANI,252,1620,1618,4,2,1,3,0,1
Comayagua,LA TRINIDAD,333,1036,800,6,5,5,6,3,2
Comayagua,LEJAMANI,220,1912,1823,5,7,3,0,0,0
Comayagua,MEAMBAR,571,2264,1390,8,5,6,8,4,2
Comayagua,MINAS DE ORO,1958,2457,1205,4,6,8,6,5,3
Comayagua,OJOS DE AGUA,587,2639,1901,7,5,9,5,9,3
