Departamento,Municipio,PL,PN,Alianza,DC,UD,PAC,APH,FA,VAMOS
Atlántida,Arizona,1096,4004,5006,13,14,9,12,4,9
Atlántida,El Porvenir,1254,2830,3644,13,14,21,8,7,17
Atlántida,Esparta,1534,2409,2895,6,8,8,21,7,4
Atlántida,Jutiapa,1491,6205,6799,3,7,13,17,9,6
Atlántida,La Ceiba,8946,17976,30485,96,40,84,180,55,75
Atlántida,La Masica,1441,4697,6230,8,6,15,10,2,8
Atlántida,San Francisco,347,1841,3596,6,13,4,4,4,2
Atlántida,Tela,4085,12488,15006,45,50,72,70,44,22
Choluteca,Apacilagua,874,2407,2043,9,6,9,22,3,5
Choluteca,Choluteca,6344,23173,32813,70,52,22,67,24,33
Choluteca,Concepción de Maria,1059,6035,3197,11,20,19,17,15,5
Choluteca,Duyure,262,1295,743,3,6,3,5,1,0
Choluteca,El Corpus,1155,4753,3142,123,23,9,16,12,8
Choluteca,El Triunfo,3204,10377,8058,21,29,17,36,6,34
Choluteca,Marcovia,3491,7003,9004,18,17,11,96,9,12
Choluteca,Morolica,1230,1686,710,3,1,1,11,1,2
Choluteca,Namasigue,2178,5990,6571,13,15,16,20,8,9
Choluteca,Orocuina,1295,4733,3175,7,14,7,8,10,1
Choluteca,Pespire,1390,6258,5045,10,15,12,19,5,23
Choluteca,San Antonio de Flores,713,2223,868,1,5,0,2,8,0
Choluteca,San Isidro,516,1332,637,2,2,0,2,1,0
Choluteca,San José,645,1377,635,19,2,2,6,2,1
Choluteca,San Marcos de Colón,2094,6777,4437,22,17,9,14,11,3
Choluteca,Santa Ana de Yusguare,1513,3105,3488,1,7,2,9,5,8
Colón,Balfate,492,2060,1539,4,5,4,5,2,2
Colón,Bonito Oriental,735,5120,5947,23,15,16,16,12,7
Colón,Iriona,706,1735,1299,10,10,11,18,5,8
Colón,Limón,507,1270,1528,9,5,4,13,3,2
Colón,Sabá,1026,4062,8821,19,28,10,12,15,10
Colón,Santa Fé,323,1221,614,10,6,5,11,5,3
Colón,Santa Rosa de Aguán,244,1157,770,7,3,3,2,1,3
Colón,Sonaguera,1129,6620,9477,22,19,11,23,16,12
Colón,Tocoa,3445,7948,16843,47,30,30,28,16,20
Colón,Trujillo,2149,8109,10141,14,28,3,31,16,18
Comayagua,Ajuterique,368,3093,2563,2,4,4,4,4,1
Comayagua,Comayagua,7722,21309,20172,82,55,92,78,33,27
Comayagua,El Rosario,893,5618,3283,13,12,16,12,3,8
Comayagua,Esquías,713,3626,1541,16,22,14,9,7,2
Comayagua,Humuya,87,686,375,1,0,0,0,0,1
Comayagua,La Libertad,1407,4722,3506,15,9,9,4,3,1
Comayagua,La Trinidad,333,1036,800,6,5,5,6,3,2
Comayagua,Lamaní,252,1620,1618,4,2,1,3,0,1
Comayagua,Las Lajas,2237,2764,1142,3,4,10,11,4,2
Comayagua,Lejamaní,220,1912,1823,5,7,3,0,0,0
Comayagua,Meámbar,571,2264,1390,8,5,6,8,4,2
Comayagua,Minas de Oro,1958,2457,1205,4,6,8,6,5,3
Comayagua,Ojo de Agua,587,2639,1901,7,5,9,5,9,3
Comayagua,San Jerónimo,715,5110,3470,10,6,10,7,5,4
Comayagua,San José de Comayagua,1131,1523,1033,7,6,3,6,4,2
Comayagua,San José del Potrero,902,660,916,4,0,2,2,1,2
Comayagua,San Luis,1088,2389,1768,5,2,6,6,2,6
Comayagua,San Sebastián,171,943,765,1,1,0,1,0,0
Comayagua,Siguatepeque,5752,15114,13326,36,32,59,132,29,12
Comayagua,Taulabe,1302,4834,4721,6,7,20,18,7,15
Comayagua,Villa de San Antonio,893,4238,3717,11,15,11,20,7,7
Copán,Cabañas,2913,2623,928,8,5,1,10,6,3
Copán,Concepción,234,1787,994,5,9,6,3,1,4
Copán,Copán Ruinas,7113,7339,3587,30,20,57,26,23,15
Copán,Corquín,423,3194,2662,6,7,11,10,1,3
Copán,Cucuyagua,1265,4201,3548,6,8,6,9,4,8
