Departamento,Carga Masculino,Carga Femenino,Carga Total
Atlantida,106160,120846,227006
Choluteca,114949,124127,239076
Colon,68908,75780,144688
Comayagua,119794,133213,253007
Copan,92496,99601,192097
Cortes,385189,442029,827218
Francisco Morazan,385104,452292,837396
Gracias a Dios,21093,22303,43396
Intibuca,55374,61752,117126
Islas de la Bahia,15501,16980,32481
La Paz,48585,54996,103581
Lempira,80004,82004,162008
Ocotepeque,38648,41224,79872
Olancho,126549,136707,263256
El Paraiso,118629,119962,238591
Santa Barbara,112062,110809,222871
Valle,44496,50111,94607
Yoro,139095,155134,294229
