departamento,edad,hombre,mujer,total
atlantida,0,2969,2805,5774
atlantida,1,4591,4400,8991
atlantida,2,5279,5347,10626
atlantida,3,5647,5246,10893
atlantida,4,5250,5243,10493
atlantida,5,4954,4740,9694
atlantida,6,4525,4570,9095
atlantida,7,4762,4501,9263
atlantida,8,4976,4699,9675
atlantida,9,4569,4544,9113
atlantida,10,4849,4642,9491
atlantida,11,4514,4604,9118
atlantida,12,5154,4972,10126
atlantida,13,5365,5104,10469
atlantida,14,4943,4865,9808
atlantida,15,4953,5039,9992
atlantida,16,4837,4849,9686
atlantida,17,4847,4869,9716
atlantida,18,5013,5068,10081
atlantida,19,3946,4290,8236
atlantida,20,4230,4826,9056
atlantida,21,3656,4013,7669
atlantida,22,3765,4325,8090
atlantida,23,3574,4336,7910
atlantida,24,3291,3798,7089
atlantida,25,3245,3861,7106
atlantida,26,2691,3422,6113
atlantida,27,2644,3227,5871
atlantida,28,3083,3546,6629
atlantida,29,2377,3123,5500
atlantida,30,3285,3847,7132
atlantida,31,1891,2313,4204
atlantida,32,2481,3012,5493
atlantida,33,2327,2683,5010
atlantida,34,2095,2389,4484
atlantida,35,2246,2678,4924
atlantida,36,2110,2469,4579
atlantida,37,1873,2154,4027
atlantida,38,2187,2706,4893
atlantida,39,1699,2095,3794
atlantida,40,2580,2808,5388
atlantida,41,1311,1480,2791
atlantida,42,2153,2302,4455
atlantida,43,1560,1987,3547
atlantida,44,1286,1568,2854
atlantida,45,1790,1952,3742
atlantida,46,1332,1483,2815
atlantida,47,1320,1454,2774
atlantida,48,1636,1698,3334
atlantida,49,1219,1464,2683
atlantida,50,1948,2121,4069
atlantida,51,939,1032,1971
atlantida,52,1439,1529,2968
atlantida,53,1275,1321,2596
atlantida,54,1250,1373,2623
atlantida,55,1091,1197,2288
atlantida,56,1115,1180,2295
atlantida,57,884,987,1871
atlantida,58,1004,1115,2119
atlantida,59,754,950,1704
atlantida,60,1391,1409,2800
atlantida,61,589,688,1277
atlantida,62,889,962,1851
atlantida,63,918,1012,1930
atlantida,64,770,841,1611
atlantida,65,891,901,1792
atlantida,66,655,693,1348
atlantida,67,626,691,1317
atlantida,68,596,691,1287
atlantida,69,410,515,925
atlantida,70,765,743,1508
atlantida,71,382,422,804
atlantida,72,561,549,1110
atlantida,73,515,546,1061
atlantida,74,451,494,945
atlantida,75,474,496,970
atlantida,76,470,406,876
atlantida,77,346,365,711
atlantida,78,449,445,894
atlantida,79,274,260,534
atlantida,80,354,411,765
atlantida,81,195,194,389
atlantida,82,224,255,479
atlantida,83,228,237,465
atlantida,84,213,226,439
atlantida,85,188,229,417
atlantida,86,164,210,374
atlantida,87,144,139,283
atlantida,88,115,118,233
atlantida,89,94,129,223
atlantida,90,76,104,180
atlantida,91,21,40,61
atlantida,92,26,44,70
atlantida,93,9,55,64
atlantida,94,16,27,43
atlantida,95,22,28,50
atlantida,96,15,22,37
atlantida,97,6,18,24
atlantida,98,12,20,32
atlantida,99,6,10,16
atlantida,100,2,8,10
atlantida,101,3,6,9
atlantida,102,3,1,4
atlantida,103,3,2,5
atlantida,104,1,1,2
atlantida,105,3,1,4
colon,0,2683,2684,5367
colon,1,3515,3299,6814
colon,2,4000,3915,7915
colon,3,4007,3877,7884
colon,4,3741,3728,7469
colon,5,3653,3450,7103
colon,6,3393,3285,6678
colon,7,3616,3358,6974
colon,8,3595,3309,6904
colon,9,3225,3175,6400
colon,10,3527,3434,6961
colon,11,3329,3251,6580
colon,12,3739,3586,7325
colon,13,3837,3832,7669
colon,14,3700,3532,7232
colon,15,3686,3775,7461
colon,16,3484,3625,7109
colon,17,3638,3552,7190
colon,18,3763,3648,7411
colon,19,2793,3021,5814
colon,20,3044,3282,6326
colon,21,2268,2548,4816
colon,22,2643,2918,5561
colon,23,2529,2756,5285
colon,24,2142,2576,4718
colon,25,2104,2460,4564
colon,26,1787,2229,4016
colon,27,1812,2079,3891
colon,28,1916,2306,4222
colon,29,1471,1710,3181
colon,30,2157,2378,4535
colon,31,1133,1365,2498
colon,32,1587,1925,3512
colon,33,1398,1583,2981
colon,34,1311,1468,2779
colon,35,1342,1675,3017
colon,36,1284,1570,2854
colon,37,1058,1345,2403
colon,38,1484,1639,3123
colon,39,1078,1236,2314
colon,40,1724,1865,3589
colon,41,759,780,1539
colon,42,1246,1387,2633
colon,43,1049,1137,2186
colon,44,876,926,1802
colon,45,1141,1170,2311
colon,46,767,872,1639
colon,47,770,910,1680
colon,48,969,1092,2061
colon,49,709,811,1520
colon,50,1288,1267,2555
colon,51,502,596,1098
colon,52,912,897,1809
colon,53,787,903,1690
colon,54,786,806,1592
colon,55,713,720,1433
colon,56,710,699,1409
colon,57,608,591,1199
colon,58,672,718,1390
colon,59,505,587,1092
colon,60,941,898,1839
colon,61,357,388,745
colon,62,554,525,1079
colon,63,614,631,1245
colon,64,478,527,1005
colon,65,569,548,1117
colon,66,415,388,803
colon,67,417,391,808
colon,68,398,440,838
colon,69,261,285,546
colon,70,497,465,962
colon,71,213,238,451
colon,72,314,307,621
colon,73,341,312,653
colon,74,279,282,561
colon,75,333,302,635
colon,76,246,293,539
colon,77,199,218,417
colon,78,289,283,572
colon,79,171,162,333
colon,80,262,248,510
colon,81,117,111,228
colon,82,107,137,244
colon,83,146,155,301
colon,84,130,117,247
colon,85,144,131,275
colon,86,130,118,248
colon,87,92,79,171
colon,88,81,71,152
colon,89,52,59,111
colon,90,62,54,116
colon,91,11,14,25
colon,92,12,27,39
colon,93,20,30,50
colon,94,12,30,42
colon,95,9,13,22
colon,96,12,7,19
colon,97,2,8,10
colon,98,10,13,23
colon,99,4,7,11
colon,100,2,12,14
colon,101,1,1,2
colon,102,3,0,3
colon,103,1,2,3
colon,104,1,0,1
colon,105,2,2,4
comayagua,0,4509,4397,8906
comayagua,1,5915,5918,11833
comayagua,2,6796,6670,13466
comayagua,3,6531,6295,12826
comayagua,4,6120,5892,12012
comayagua,5,5954,5839,11793
comayagua,6,5636,5385,11021
comayagua,7,5801,5589,11390
comayagua,8,5987,5925,11912
comayagua,9,5742,5498,11240
comayagua,10,6047,5687,11734
comayagua,11,5627,5505,11132
comayagua,12,6397,5984,12381
comayagua,13,6808,6647,13455
comayagua,14,6343,6211,12554
comayagua,15,6206,6311,12517
comayagua,16,5725,5589,11314
comayagua,17,5759,5675,11434
comayagua,18,6011,5742,11753
comayagua,19,4547,5078,9625
comayagua,20,4999,5347,10346
comayagua,21,3960,4484,8444
comayagua,22,4605,4793,9398
comayagua,23,4164,4667,8831
comayagua,24,3646,4167,7813
comayagua,25,3523,4193,7716
comayagua,26,3195,3640,6835
comayagua,27,2986,3567,6553
comayagua,28,3316,3967,7283
comayagua,29,2594,3116,5710
comayagua,30,3689,4248,7937
comayagua,31,2019,2509,4528
comayagua,32,2934,3418,6352
comayagua,33,2648,3222,5870
comayagua,34,2468,2903,5371
comayagua,35,2695,3156,5851
comayagua,36,2426,2958,5384
comayagua,37,2092,2484,4576
comayagua,38,2738,3029,5767
comayagua,39,1958,2258,4216
comayagua,40,2938,3126,6064
