Codigo Municipal,Municipio
1202,AGUANQUETERIQUE
0903,AHUAS
0302,AJUTERIQUE
0702,ALAUCA
1702,ALIANZA
0802,ALUBARÉN
1703,AMAPALA
0602,APACILAGUA
1602,ARADA
1704,ARAMECINA
1802,ARENAL
0108,ARIZONA
1603,ATIMA
1604,AZACUALPA
0202,BALFATE
1302,BELÉN
1402,BELÉN GUALCHO
0210,BONITO ORIENTAL
0902,BRUS LAGUNA
0402,CABAÑAS
1203,CABAÑAS
1002,CAMASCA
1502,CAMPAMENTO
1303,CANDELARIA
1204,CANE
1705,CARIDAD
1503,CATACAMAS
0803,CEDROS
1605,CEGUACA
1205,CHINACLA
1609,CHINDA
0502,CHOLOMA
0601,CHOLUTECA
1304,COLOLACA
1003,COLOMONCAGUA
0301,COMAYAGUA
0403,CONCEPCIÓN
1004,CONCEPCIÓN
1403,CONCEPCIÓN
0603,CONCEPCIÓN DE MARÍA
1607,CONCEPCIÓN DEL NORTE
1608,CONCEPPCIÓN DEL SUR
1504,CONCORDIA
0404,COPÁN RUINAS
0405,CORQUÍN
0406,CUCUYAGUA
0804,CURARÉN
0703,DANLÍ
0801,DISTRITO CENTRAL
0407,DOLORES
1005,DOLORES
1404,DOLORES MERENDÓN
0408,DULCE NOMBRE
1505,DULCE NOMBRE DE CULMÍ
0604,DUYURE
0605,EL CORPUS
1803,EL NEGRITA
1610,EL NÍSPERO
0409,EL PARAÍSO
0704,EL PARAÍSO
0102,EL PORVENIR
1804,EL PROGRESO
0805,EL PROVENIR
0303,EL ROSARIO
1506,EL ROSARIO
0606,EL TRIUNFO
1305,ERANDIQUE
0103,ESPARTA
0304,ESQUÍAS
1507,ESQUIPULAS DEL NORTE
0410,FLORIDA
1405,FRATERNIDAD
1523,FROYLAN TURCIOS
1706,GOASCORÁN
1301,GRACIAS
0806,GUAIMACA
1206,GUAJIQUIRO
1508,GUALACO
1611,GUALALA
1306,GUALCINSE
1102,GUANAJA
1307,GUARITA
1509,GUARIZAMA
1510,GUATA
1511,GUAYAPE
0705,GÜINOPE
0305,HUMUYA
1612,ILAMA
1006,INTIBUCÁ
0203,IRIONA
1103,J. SANTOS GUARDIOLA
0706,JACALEAPA
1512,JANO
1007,JESÚS DE OTORO
1805,JOCÓN
0904,JUAN FRANCISCO BULNES
0104,JUTIAPA
1501,JUTICALPA
1308,LA CAMPA
0101,LA CEIBA
1406,LA ENCARNACIÓN
1001,LA ESPERANZA
1309,LA IGUALA
0411,LA JIGUA
1407,LA LABOR
0306,LA LIBERTAD
0807,LA LIBERTAD
0512,LA LIMA
0105,LA MASICA
1201,LA PAZ
0308,LA TRINIDAD
0412,LA UNIÓN
1311,LA UNIÓN
1513,LA UNIÓN
0808,LA VENTA
1312,LA VIRTUD
0320,LAJAS
0307,LAMANÍ
1707,LANGUE
1310,LAS FLORES
1627,LAS VEGAS
1207,LAUTERIQUE
0309,LEJAMANÍ
1313,LEPAERA
0809,LEPATERIQUE
0204,LIMÓN
0707,LIURE
1408,LUCERNA
1613,MACUELIZO
1008,MAGDALENA
1514,MANGULILE
1515,MANTO
1314,MAPULACA
0810,MARAITA
0811,MARALE
1208,MARCALA
0607,MARCOVIA
1009,MASAGUARA
0310,MEÁMBAR
1409,MERCEDES
1209,MERCEDES DE ORIENTE
0311,MINAS DE ORO
1806,MORAZÁN
0708,MOROCELÍ
0608,MOROLICA
1701,NACAOME
0609,NAMASIGÜE
1614,NARANJITO
0413,NUEVA ARCADIA
0812,NUEVA AREMNIA
1615,NUEVA CELILAC
1628,NUEVA FRONTERA
1401,NUEVA OCOTEPEQUE
0813,OJOJONA
0312,OJOS DE AGUA
1807,OLANCHITO
0503,OMOA
1210,OPATORO
0814,ORICA
0610,OROCUINA
0709,OROPOLÍ
0611,PESPIRE
1616,PETOA
0504,PIMIENTA
1315,PIRAERA
0505,POTRERILLOS
0710,POTRERILLOS
1617,PROTECCIÓN
0506,PUERTO CORTÉS
0901,PUERTO LEMPIRA
1618,QUIMISTÁN
0815,REITOCA
1101,ROATÁN
0507,S. ANTONIO DE CORTÉS
0612,S. ANTONIO DE FLORES
0711,S. ANTONIO DE FLORES
0817,S. ANTONIO DE ORIENTE
1211,S. ANTONIO DEL NORTE
1518,S. FRANCISCO DE BECERRA
1519,S. FRANCISCO DE LA PAZ
1619,S. FRANCISCO DE OJUERA
1411,S. FRANCISCO DEL VALLE
1017,S. FRANCISCO OPALACA
0314,S. JOSÉ DE COMAYAG.
0315,S. JOSÉ DEL POTRERO
1328,S. MARCOS DE CAIQUÍN
0615,S. MARCOS DE COLÓN
1013,S. MARCOS DE LA SIERRA
1014,S. MIGUEL GUANCAPLA
1625,S. VICENTE CENTENARIO
0205,SABÁ
0816,SABANAGRANDE
1516,SALAMÁ
0414,SAN AGUSTÍN
1316,SAN ANDRÉS
0415,SAN ANTONIO
1010,SAN ANTONIO
0818,SAN BUENAVENTURA
1517,SAN ESTEBAN
1708,SAN FCO. DE CORAY
0508,SAN FCO. DE YOJOA
1410,SAN FERNANDO
0106,SAN FRANCISCO
1317,SAN FRANCISCO
0819,SAN IGNACIO
0613,SAN ISIDRO
1011,SAN ISIDRO
0313,SAN JERÓNIMO
0416,SAN JERÓNIMO
1412,SAN JORGE
0417,SAN JOSÉ
0614,SAN JOSÉ
1212,SAN JOSÉ
1606,San Jose de Colinas
1213,SAN JUAN
0820,SAN JUAN DE FLORES
1012,SAN JUAN DE FLORES
0418,SAN JUAN DE OPOA
1318,SAN JUAN GUARITA
1709,SAN LORENZO
0712,SAN LUCAS
0316,SAN LUIS
1620,SAN LUIS
0509,SAN MANUEL
1319,SAN MANUEL COLOHETE
1413,SAN MARCOS
1621,SAN MARCOS
0713,SAN MATÍAS
0821,SAN MIGUELITO
0419,SAN NICOLÁS
1622,SAN NICOLÁS
0420,SAN PEDRO
1214,SAN PEDRO DE TUTULE
0501,SAN PEDRO SULA
1623,SAN PEDRO ZACAPA
1320,SAN RAFAEL
0317,SAN SEBASTIÁN
1321,SAN SEBASTIÁN
0822,SANTA ANA
1215,SANTA ANA
1601,SANTA BÁRBARA
1322,SANTA CRUZ
1216,SANTA ELENA
0206,SANTA FE
1414,SANTA FE
0823,SANTA LUCÍA
1015,SANTA LUCÍA
1217,SANTA MARÍA
1520,SANTA MARÍA DEL REAL
0421,SANTA RITA
1624,SANTA RITA
1808,SANTA RITA
1218,SANTIAGO PURINGLA
1415,SENSENTI
0318,SIGUATEPEQUE
1521,SILCA
1416,SINUAPA
0714,SOLEDAD
0208,SONAGUERA
0616,STA. ANA DE YUSGUARE
0510,STA. CRUZ DE YOJOA
0207,STA. ROSA DE AGUÁN
0401,STA. ROSA DE COPÁN
1809,SULACO
0824,TALANGA
1323,TALGUA
1324,TAMBLA
0825,TATUMBLA
0321,TAULABÉ
0107,TELA
0715,TEUPASENTI
0716,TEXIGUAT
0209,TOCOA
1325,TOMALA
0422,TRINIDAD
1626,TRINIDAD
0719,TROJES
0201,TRUJILLO
1104,UTILA
0717,VADO ANCHO
1326,VALLADOLID
0826,VALLE DE ÁNGELES
0828,VALLECILLO
0423,VERACRUZ
1810,VICTORIA
0319,VILLA DE S. ANTONIO
0827,VILLA DE SAN FRANCISCO
0511,VILLANUEVA
0905,VILLEDA MORALES
1327,VIRGINIA
0906,WAMPUSIRPE
1016,YAMARANGUILA
1219,YARULA
0718,YAUYUPE
1522,YOCÓN
1811,YORITO
1801,YORO
0701,YUSCARÁN
,
