"","nombre","cod_muni","dep","mun","cod_mun_","codpais","shape_leng","shape_area","km2","densidad"
"0","La Ceiba","0101",1,1,101,"HN",118111.144137,654383270.907,654.383,194.977
"1","Esparta","0103",1,3,103,"HN",163286.987078,460429563.71,460.43,33.6338
"2","Jutiapa","0104",1,4,104,"HN",112496.855135,532379570.864,532.38,51.6023
"3","La Masica","0105",1,5,105,"HN",141334.914494,468438097.622,468.438,48.4205
"4","San Francisco","0106",1,6,106,"HN",106244.551738,282270541.049,282.271,37.8467
"5","Tela","0107",1,7,107,"HN",294002.804495,1156445357.76,1156.45,66.6102
"6","Arizona","0108",1,8,108,"HN",165191.546282,530802009.333,530.802,37.0383
"7","Trujillo","0201",2,1,201,"HN",220602.247664,955152386.809,955.152,45.4943
"8","Balfate","0202",2,2,202,"HN",102626.310665,332907595.6,332.908,31.7866
"9","Iriona","0203",2,3,203,"HN",299219.466381,3858210012.9,3858.21,4.31392
"10","Limon","0204",2,4,204,"HN",127636.125334,615252120.574,615.252,13.5408
"11","Saba","0205",2,5,205,"HN",111933.560176,370871007.157,370.871,51.948
"12","Santa Fe","0206",2,6,206,"HN",68203.5919584,207884501.712,207.885,26.9525
"13","Santa Rosa de Aguan","0207",2,7,207,"HN",56735.5525714,136101392.653,136.101,27.8248
"14","Sonaguera","0208",2,8,208,"HN",100090.604969,402767060.113,402.767,85.0889
"15","Tocoa","0209",2,9,209,"HN",158379.60388,887789168.383,887.789,59.914
"16","Bonito Oriental","0210",2,10,210,"HN",135616.386165,509394804.226,509.395,45.7543
"17","Comayagua","0301",3,1,301,"HN",178400.069804,834220736.804,834.221,104.857
"18","Ajuterique","0302",3,2,302,"HN",37642.560759,61666855.2722,61.6669,145.394
"19","El Rosario","0303",3,3,303,"HN",123110.447028,297550279.733,297.55,69.2757
"20","Esquias","0304",3,4,304,"HN",126767.411496,389120726.772,389.121,36.8575
"21","Humuya","0305",3,5,305,"HN",49989.6591557,54193037.2575,54.193,19.2829
"22","La Libertad","0306",3,6,306,"HN",130413.708201,320558675.771,320.559,55.0632
"23","Lamani","0307",3,7,307,"HN",101791.613988,307098842.495,307.099,16.1479
"24","La Trinidad","0308",3,8,308,"HN",45666.1365207,85340649.1849,85.3407,42.8752
"25","San Agustin","0414",4,14,414,"HN",40257.7172398,69477962.9314,69.478,48.922
"26","San Antonio","0415",4,15,415,"HN",51005.1985821,118682213.249,118.682,79.7508
"27","San Jeronimo","0416",4,16,416,"HN",47703.7909623,70364069.8761,70.3641,64.3652
"28","La Lima","0512",5,12,512,"HN",92806.3063048,112220759.148,112.221,477.577
"29","Choluteca","0601",6,1,601,"HN",387495.791485,1071942860.59,1071.94,112.684
"30","Apacilagua","0602",6,2,602,"HN",73545.9033821,228499145.75,228.499,39.1861
"31","Concepcion de Maria","0603",6,3,603,"HN",73377.5286192,167724829.96,167.725,145.512
"32","Duyure","0604",6,4,604,"HN",61305.0372762,104169564.075,104.17,26.4281
"33","El Corpus","0605",6,5,605,"HN",84141.6718283,248873503.847,248.874,87.8197
"34","El Triunfo","0606",6,6,606,"HN",91619.9122752,306886047.019,306.886,116.753
"35","Marcovia","0607",6,7,607,"HN",278620.365112,487468140.023,487.468,77.5928
"36","Morolica","0608",6,8,608,"HN",82901.1400339,275490787.155,275.491,18.2765
"37","Namasigue","0609",6,9,609,"HN",85220.0541217,216759556.972,216.76,116
"38","Orocuina","0610",6,10,610,"HN",61366.8859863,125171523.266,125.172,127.417
"39","Pespire","0611",6,11,611,"HN",101857.815912,324796559.114,324.797,71.8357
"40","San Antonio de Flores","0612",6,12,612,"HN",32413.8724448,54650780.9212,54.6508,97.8943
"41","San Isidro","0613",6,13,613,"HN",33970.4136129,71808030.1009,71.808,47.1256
"42","San Buenaventura","0818",8,18,818,"HN",35780.2504877,62266608.4173,62.2666,31.2527
"43","San Ignacio","0819",8,19,819,"HN",88963.930575,331043080.007,331.043,21.4896
"44","San Juan de Flores","0820",8,20,820,"HN",88899.8828173,380165340.608,380.165,27.2618
"45","San Miguelito","0821",8,21,821,"HN",29470.6062314,42428454.1745,42.4285,44.8755
"46","Santa Ana","0822",8,22,822,"HN",63358.8053818,95502157.6434,95.5022,89.5163
"47","Santa Lucia","0823",8,23,823,"HN",32166.0892808,57860918.0474,57.8609,115.657
"48","Talanga","0824",8,24,824,"HN",114259.597579,429435723.606,429.436,62.5845
"49","Tatumbla","0825",8,25,825,"HN",38738.1433312,78784493.4344,78.7845,59.6818
"50","Lejamani","0309",3,9,309,"HN",24424.3654079,22520352.8891,22.5204,178.86
"51","Meambar","0310",3,10,310,"HN",100703.801167,409688811.835,409.689,24.1842
"52","Minas de Oro","0311",3,11,311,"HN",129275.765829,392568251.297,392.568,26.9354
"53","Ojos de Agua","0312",3,12,312,"HN",79157.7695157,172217586.596,172.218,48.8742
"54","San Jerónimo","0313",3,13,313,"HN",72564.9717208,227653276.198,227.653,64.1809
"55","San Jose de Comayagua","0314",3,14,314,"HN",45670.9596859,78835199.7436,78.8352,75.3978
"56","San Jose del Potrero","0315",3,15,315,"HN",77640.2941593,198348199.129,198.348,26.7106
"57","Veracruz","0423",4,23,423,"HN",28717.9118777,33756626.1293,33.7566,77.7329
"58","San Pedro Sula","0501",5,1,501,"HN",174256.819738,856254168.414,856.254,601.992
"59","Choloma","0502",5,2,502,"HN",115366.545958,466699770.183,466.7,325.689
"60","San Luis","0316",3,16,316,"HN",46435.8385816,122966492.686,122.966,58.5607
"61","San Sebastian","0317",3,17,317,"HN",71021.074852,97146259.9112,97.1463,27.8961
"62","Siguatepeque","0318",3,18,318,"HN",119089.759374,392183594.611,392.184,153.385
"63","Villa de San Antonio","0319",3,19,319,"HN",107706.358069,342180899.958,342.181,48.9741
"64","Las Lajas","0320",3,20,320,"HN",44981.3353274,95088676.4197,95.0887,89.8109
"65","Taulabe","0321",3,21,321,"HN",75702.1989595,219628454.417,219.628,88.6087
"66","Santa Rosa de Copan","0401",4,1,401,"HN",149725.317915,306308645.183,306.309,121.809
"67","Cabana","0402",4,2,402,"HN",49398.5428879,128008100.599,128.008,76.2608
"68","Concepción","0403",4,3,403,"HN",57184.8968843,73029814.5305,73.0298,74.0246
"69","Copan Ruinas","0404",4,4,404,"HN",130374.764724,360651940.832,360.652,81.458
"70","Corquin","0405",4,5,405,"HN",71062.6955994,138617656.786,138.618,77.0104
"71","Cucuyagua","0406",4,6,406,"HN",62724.2673371,136129326.165,136.129,83.7292
