CODIGO,NUM.HOGARES,COC.PIEZA,COC.LENA,COC.CHIMBO,COC.ELEC,SAN.ALC,SAN.FOSA,SAN.LETR,AUTO.UNO,AUTO.UNOPLUS,AUTO.NO,ELDOM.REFRI,ELDOM.LAVAD,ELDOM.SONI,ELDOM.AC,ELDOM.COMPU,ELDOM.MICRO,SERV.CABLE,SERV.INTERNET,ALUMB.SPUB,ALUMB.SPRI,ALUMB.GEN,ALUMB.CANDIL,ALUMB.VELA,ALUMB.OCOT,ALUMB.SOLAR,AGUA.TUBE.DENTRO,AGUA.TUBE.DENTRO2,AGUA.FUERA,AGUA.NONTUBE,AS.SPUB,AS.SPRI,AS.POMA,AS.POBO,AS.CDA,AS.LAG,AS.VEN,AS.OTRO,NBI0,NBI1,NBI2,NBI3,NBI4,NBI.NNM,NBI.SSAG,NBI.SSAN,NBI.SSUB,NBI.HACI,NBI.VME
101,46859.67,39455.15,6935.3,28689.01,7137.84,16071.86,23276.13,6880.84,8797.24,1656.08,36321.34,38612.59,18626.3,34774.43,12439.12,14798.35,21896.21,34118.52,9114.13,41515,676,25,1603,2262,44,44,36105,5359,1455,3253,30827,11564,1964,776,439,19,87,494,24857,12440,3641,2519,2715,1075,4895,6763,13137,3722,3271
102,5003.33,4345.2,1840.94,2693.13,260.02,152.95,4352.67,331.9,643.01,84.67,4263.6,3594.04,1216.1,2975.57,494.47,863.66,1774.7,2835.98,397.31,4434,113,2,134,192,8,45,3307,1429,54,138,385,4347,84,61,7,0,2,43,2670,1560,437,180,82,111,115,358,1686,559,139
103,4238.21,3823.06,3333.42,690.89,45.02,29.31,3431.74,472.15,453.82,50.2,3726.92,2251.56,476.62,2481.57,237.16,429.75,905.16,1826.61,118.21,3092,154,4,542,308,29,59,2303,1253,115,518,527,3116,317,65,88,3,1,72,2267,1232,417,192,81,130,163,478,1382,338,10
104,7461.58,6164.93,5555.25,1389.88,129.45,73.95,5573.58,1263.31,667.37,103.13,6666.35,3440.54,722.44,4255.58,375.25,600.86,1195.4,3161.43,190.02,4389,226,26,1809,626,18,269,3916,2374,228,844,2844,3622,356,150,213,11,6,161,3543,2204,854,454,308,352,403,1116,2547,953,102
105,6738.22,5732.55,4049.08,2186.6,204.22,162.82,5468.73,816.66,875.61,169.26,5685.99,3879.1,1054.08,4280.83,1100.74,864.68,1412.82,3720.16,398.72,4886,96,14,969,581,8,97,4829,1183,66,573,4391,1681,298,20,167,11,1,82,3488,1958,620,324,262,209,343,823,2147,712,260
106,3462.28,3160.98,1725.84,1443.85,100.34,43.48,2951.11,344.25,462.75,64.19,2921.23,2195.92,736.53,1927.66,290.65,529.44,962.36,2083.25,200.49,2519,270,12,235,318,4,46,2604,631,30,139,405,2850,83,16,15,0,2,33,1915,1010,276,151,52,68,109,333,1082,200,111
107,22326.47,18090.31,11131.92,8487.45,1253.9,4516.26,13723.78,2608.04,2774.89,387.85,19093.84,13499.54,4072.17,15064.65,2016.68,3650.13,5771.14,8922.62,2142.86,15978,719,74,2819,1839,27,495,15075,3644,290,2942,11247,7498,1513,293,791,25,53,529,10628,6610,2425,1381,907,859,2051,3105,7413,2389,583
108,5378.43,4728.4,4239.8,777.63,133.98,41.14,4327.01,760.51,653.29,105.14,4614.89,3309.25,626.93,2978.73,314.11,663.98,1236.98,2751.72,104.3,4471,115,3,356,311,4,20,3646,1280,34,321,745,4197,113,10,169,2,1,43,2725,1605,473,286,191,174,267,707,1759,445,197
201,13481.49,10784.86,7753.74,4691.65,305.57,1196.38,9243.91,2237.82,1460.53,191.42,11765.72,7952.44,2641.05,7799.17,1041.39,1865.81,2817.64,5840.81,746.62,10184,286,33,1188,1408,25,81,7812,3921,405,1067,9254,2855,357,344,172,16,0,207,6156,4008,1564,943,532,597,637,2088,4698,1505,711
202,2663.45,2386.47,1932.99,604.14,25.88,27.41,1342.49,1052,130.28,27.75,2498.18,967.25,202.1,1148.39,107.51,171.54,321.86,759.99,39.77,1371,24,9,859,205,4,163,929,763,289,655,536,1323,120,66,572,6,0,12,845,604,383,408,396,194,592,984,992,552,31
