Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
101,Atlantida,La Ceiba,73.58,94.67,61.49,"5,941.28",0.81,0.836,0.682,0.773,0.736
102,Atlantida,El Porvenir,72.37,88.72,50.12,"3,688.11",0.79,0.759,0.602,0.712,0.677
103,Atlantida,Esparta,71.83,82.95,46.6,"2,880.84",0.781,0.708,0.561,0.677,0.646
104,Atlantida,Jutiapa,71.44,80.6,41.85,"2,418.67",0.774,0.677,0.532,0.653,0.624
105,Atlantida,La Masica,71.72,83.88,46.72,"2,686.83",0.779,0.715,0.549,0.674,0.641
106,Atlantida,San Francisco,72.46,87.96,49.77,"3,672.52",0.791,0.752,0.601,0.71,0.675
107,Atlantida,Tela,72.32,87.14,49.17,"3,508.39",0.789,0.745,0.594,0.704,0.669
108,Atlantida,Arizona,71.79,83.07,46.06,"2,779.79",0.78,0.707,0.555,0.674,0.641
201,Colon,Trujillo,72.17,84,48.1,"3,349.56",0.786,0.72,0.586,0.692,0.64
202,Colon,Balfate,71.22,76.32,39.47,"2,226.88",0.77,0.64,0.518,0.634,0.589
203,Colon,Iriona,71.69,83.3,43.61,"2,779.32",0.778,0.701,0.555,0.671,0.629
204,Colon,Lima,71.31,79.21,39.04,"2,306.24",0.772,0.658,0.524,0.643,0.596
205,Colon,Sabanagrande,72.1,84.77,52.03,"3,130.44",0.785,0.739,0.575,0.694,0.639
206,Colon,Santa Fe,71.94,79.24,36.89,"3,060.40",0.782,0.651,0.571,0.662,0.617
207,Colon,Santa Rosa de Aguan,71.89,85.61,46.49,"3,017.38",0.782,0.726,0.569,0.686,0.635
208,Colon,Sonaguera,71.74,82.47,47.1,"2,732.21",0.779,0.707,0.552,0.672,0.623
209,Colon,Tocoa,72.59,85.28,53.76,"3,881.70",0.793,0.748,0.611,0.713,0.658
210,Colon,Bonito Oriental,71.69,77.25,41.42,"2,660.70",0.778,0.653,0.548,0.653,0.602
301,Comayagua,Comayagua,73.41,86.73,51.98,"3,653.51",0.807,0.751,0.601,0.714,0.685
302,Comayagua,Ajuterique,72.8,84.12,49.54,"2,795.22",0.797,0.726,0.556,0.685,0.66
303,Comayagua,El Rosario,71.41,73.01,32.86,"1,583.45",0.774,0.596,0.461,0.597,0.581
304,Comayagua,Esquias,71.66,79.72,37.63,"1,739.95",0.778,0.657,0.477,0.625,0.608
305,Comayagua,Humuya,72.27,86.14,45.18,"2,233.01",0.788,0.725,0.518,0.666,0.65
306,Comayagua,La Libertad,72.09,84.94,44.35,"2,094.87",0.785,0.714,0.508,0.658,0.637
307,Comayagua,Lamani,71.98,84.23,45.89,"1,976.11",0.783,0.715,0.498,0.653,0.636
308,Comayagua,La Trinidad,71.3,78.97,35.93,"1,485.44",0.772,0.646,0.45,0.608,0.597
309,Comayagua,Lejamani,73.01,86.26,51.11,"3,070.72",0.8,0.745,0.572,0.699,0.674
310,Comayagua,Meambar,71.42,75.19,32.8,"1,596.51",0.774,0.611,0.462,0.602,0.588
311,Comayagua,Minas de Oro,72.15,85.35,44.92,"2,170.61",0.786,0.719,0.514,0.662,0.644
312,Comayagua,Ojos de Agua,71.25,83.88,41.16,"1,470.43",0.771,0.696,0.449,0.622,0.609
313,Comayagua,San Jeronimo,71.68,79.25,39.85,"1,725.32",0.778,0.661,0.475,0.625,0.607
314,Comayagua,San Jose de Comayagua,71.67,76.31,38.31,"1,776.97",0.778,0.636,0.48,0.619,0.603
315,Comayagua,San Jose del Potrero,71.8,84.84,44.42,"1,851.60",0.78,0.714,0.487,0.647,0.636
316,Comayagua,San Luis,72.04,84.22,43.12,"2,045.53",0.784,0.705,0.504,0.653,0.636
317,Comayagua,San Sebastian,71.64,85.01,45.21,"1,677.57",0.777,0.717,0.471,0.64,0.623
318,Comayagua,Siguatepeque,73.37,89.3,54.18,"3,541.61",0.806,0.776,0.595,0.719,0.691
319,Comayagua,Villa de San Antonio,72.89,86.71,52.1,"2,879.95",0.798,0.752,0.561,0.696,0.669
320,Comayagua,Las Lajas,71.49,80.57,39.46,"1,606.16",0.775,0.669,0.463,0.621,0.6
321,Comayagua,Taulabe,72.55,82.92,45.52,"2,506.06",0.793,0.705,0.538,0.67,0.646
401,Copan,Santa Rosa de Copan,72,86.32,56.93,"4,373.48",0.783,0.765,0.631,0.723,0.691
402,Copan,Cabanas,69.54,65.41,26.29,"1,532.91",0.742,0.524,0.456,0.562,0.54
403,Copan,Concepcion,70.06,67.23,30.06,"1,962.57",0.751,0.548,0.497,0.589,0.566
404,Copan,Copan Ruinas,70.12,67.89,29.55,"1,967.24",0.752,0.551,0.497,0.591,0.562
405,Copan,Corquin,70.34,80.35,44.66,"2,152.87",0.756,0.685,0.512,0.642,0.62
406,Copan,Cucuyagua,70.39,72.18,41.74,"2,252.56",0.757,0.62,0.52,0.625,0.596
407,Copan,Dolores,69.9,71.9,36.02,"1,844.54",0.748,0.599,0.486,0.602,0.578
408,Copan,Dulce Nombre,71.43,81.2,44.92,"3,447.82",0.774,0.691,0.591,0.681,0.649
409,Copan,El Paraiso,69.64,68.57,30.53,"1,631.07",0.744,0.559,0.466,0.579,0.554
410,Copan,Florida,69.79,70.12,34.17,"1,718.81",0.747,0.581,0.475,0.591,0.565
411,Copan,La Jigua,69.91,70.57,38.21,"1,780.28",0.749,0.598,0.481,0.599,0.572
412,Copan,La Union,69.99,72.49,36.96,"1,941.14",0.75,0.606,0.495,0.608,0.583
413,Copan,Nueva Arcadia,71.1,80.2,44.97,"2,978.26",0.768,0.685,0.566,0.668,0.637
414,Copan,San Agustin,70.16,58.12,24.81,"2,114.68",0.753,0.47,0.509,0.565,0.532
415,Copan,San Antonio,69.46,69.24,32.02,"1,539.09",0.741,0.568,0.456,0.577,0.557
416,Copan,San Jeronimo,69.85,71.49,35.92,"1,855.95",0.748,0.596,0.488,0.601,0.577
