"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,101,"HND","Honduras",1,"Atlántida","Departamento","Department",NA,NA
2,101,"HND","Honduras",2,"Choluteca","Departamento","Department",NA,NA
3,101,"HND","Honduras",3,"Colón","Departamento","Department",NA,NA
4,101,"HND","Honduras",4,"Comayagua","Departamento","Department",NA,NA
5,101,"HND","Honduras",5,"Copán","Departamento","Department",NA,NA
6,101,"HND","Honduras",6,"Cortés","Departamento","Department",NA,"Cortez"
7,101,"HND","Honduras",7,"El Paraíso","Departamento","Department",NA,"Paraiso"
8,101,"HND","Honduras",8,"Francisco Morazán","Departamento","Department",NA,"Tegucigalpa"
9,101,"HND","Honduras",9,"Gracias a Dios","Departamento","Department",NA,NA
10,101,"HND","Honduras",10,"Intibucá","Departamento","Department",NA,NA
11,101,"HND","Honduras",11,"Islas de la Bahía","Departamento","Department",NA,"Islas de Bahia"
12,101,"HND","Honduras",12,"La Paz","Departamento","Department",NA,NA
13,101,"HND","Honduras",13,"Lempira","Departamento","Department",NA,"Gracias"
14,101,"HND","Honduras",14,"Ocotepeque","Departamento","Department",NA,NA
15,101,"HND","Honduras",15,"Olancho","Departamento","Department",NA,NA
16,101,"HND","Honduras",16,"Santa Bárbara","Departamento","Department",NA,NA
17,101,"HND","Honduras",17,"Valle","Departamento","Department",NA,NA
18,101,"HND","Honduras",18,"Yoro","Departamento","Department",NA,NA
